Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547334000.0 1.0 98 88 173 NA NA 186 359 290 NA NA 1630 466 944 NA NA 1502 506 1167 NA NA
1547334000.0 101.0 82 NA NA NA NA 150 NA NA NA NA 951 NA NA NA NA 1751 NA NA NA NA
1547334000.0 1010.0 NA 30 70 0 NA NA 73 121 0 NA NA 110 232 107 NA NA 281 1293 773 NA
1547334000.0 1020.0 NA 37 NA NA NA NA 113 NA NA NA NA 243 NA NA NA NA 764 NA NA NA
1547334000.0 1030.0 NA 178 46 0 NA NA 315 84 0 NA NA 12356 342 119 NA NA 6476 637 366 NA
1547334000.0 105.0 96 85 27 NA NA 186 360 65 NA NA 1446 583 112 NA NA 2532 982 367 NA NA
1547334000.0 106.0 44 0 0 NA NA 91 0 0 NA NA 876 305 1708 NA NA 877 602 2424 NA NA
1547334000.0 112.0 101 87 411 NA NA 190 360 506 NA NA 2659 613 1577 NA NA 2097 1686 2753 NA NA
1547334000.0 115.0 101 94 413 NA NA 188 360 525 NA NA 3328 620 1622 NA NA 2520 723 1731 NA NA
1547334000.0 119.0 98 92 411 NA NA 186 360 511 NA NA 2962 537 1682 NA NA 1968 469 1843 NA NA
1547334000.0 120.0 73 82 394 NA NA 146 367 505 NA NA 858 470 1505 NA NA 1045 772 2228 NA NA
1547334000.0 122.0 61 83 376 NA NA 131 360 501 NA NA 968 381 1777 NA NA 1455 449 4745 NA NA
1547334000.0 124.2 318 NA NA NA NA 509 NA NA NA NA 1308 NA NA NA NA 1631 NA NA NA NA
1547334000.0 124.4 309 NA NA NA NA 501 NA NA NA NA 1196 NA NA NA NA 1669 NA NA NA NA
1547334000.0 129.0 62 87 394 NA NA 123 367 513 NA NA 828 470 1505 NA NA 1038 664 1767 NA NA
1547334000.0 130.0 66 87 401 NA NA 133 367 513 NA NA 906 466 1564 NA NA 899 728 2446 NA NA
1547334000.0 1301.0 91 100 194 NA NA 152 369 299 NA NA 1538 504 1134 NA NA 1360 634 1908 NA NA
1547334000.0 1303.0 94 106 210 NA NA 158 377 325 NA NA 7491 681 1522 NA NA 4252 1906 1834 NA NA
1547334000.0 1307.0 NA 98 183 50 0 NA 394 264 86 0 NA 549 620 143 228 NA 1298 1581 283 451
1547334000.0 1308.0 NA 101 179 49 0 NA 383 258 86 0 NA 633 713 204 348 NA 1126 956 398 886
1547334000.0 131.0 67 81 299 NA NA 142 367 506 NA NA 1101 580 1895 NA NA 1156 2218 3794 NA NA
1547334000.0 132.0 96 91 314 NA NA 175 367 524 NA NA 3366 509 2079 NA NA 2071 580 3993 NA NA
1547334000.0 1325.3 NA 110 210 0 NA NA 381 277 0 NA NA 1006 1008 317 NA NA 1657 2005 424 NA
1547334000.0 1325.5 NA 169 0 NA NA NA 284 0 NA NA NA 4588 136 NA NA NA 7423 510 NA NA
1547334000.0 1325.51 NA 151 0 NA NA NA 222 0 NA NA NA 2210 166 NA NA NA 4270 342 NA NA
1547334000.0 1325.6 NA 137 NA NA NA NA 219 NA NA NA NA 2391 NA NA NA NA 3403 NA NA NA
1547334000.0 1325.7 NA 139 0 NA NA NA 213 0 NA NA NA 3806 193 NA NA NA 8349 947 NA NA
1547334000.0 1325.8 NA 137 0 NA NA NA 212 0 NA NA NA 2846 129 NA NA NA 4519 418 NA NA
1547334000.0 1325.9 NA 127 0 NA NA NA 202 0 NA NA NA 1895 126 NA NA NA 2582 410 NA NA
1547334000.0 1326.0 NA 107 528 0 NA NA 385 641 0 NA NA 549 1696 634 NA NA 815 1874 906 NA
1547334000.0 133.0 103 97 426 NA NA 188 360 521 NA NA 6380 622 1983 NA NA 4610 524 2921 NA NA
1547334000.0 134.0 NA 395 41 0 NA NA 487 77 0 NA NA 4520 161 92 NA NA 3555 337 180 NA
1547334000.0 135.11 382 0 120 NA NA 512 0 187 NA NA 1608 271 742 NA NA 1399 532 1141 NA NA
1547334000.0 135.12 352 0 114 NA NA 515 0 182 NA NA 1392 264 662 NA NA 1545 530 778 NA NA
1547334000.0 135.6 338 0 111 NA NA 511 0 184 NA NA 1172 257 604 NA NA 1557 490 727 NA NA
1547334000.0 135.8 144 NA NA NA NA 234 NA NA NA NA 433 NA NA NA NA 1212 NA NA NA NA
1547334000.0 136.743 NA 75 506 0 NA NA 136 636 0 NA NA 742 11058 788 NA NA 1356 6673 876 NA
1547334000.0 136.748 NA 81 513 0 NA NA 140 635 0 NA NA 765 11398 797 NA NA 1152 6030 933 NA
1547334000.0 136.753 NA 78 518 0 NA NA 136 636 0 NA NA 976 12036 797 NA NA 1307 8518 1199 NA
1547334000.0 136.7611 NA 173 0 NA NA NA 263 0 NA NA NA 5676 137 NA NA NA 8538 308 NA NA
1547334000.0 136.7721 NA 169 0 NA NA NA 252 0 NA NA NA 5231 133 NA NA NA 5267 411 NA NA
1547334000.0 136.7801 NA 106 0 NA NA NA 164 0 NA NA NA 442 190 NA NA NA 1315 612 NA NA
1547334000.0 136.7802 NA 132 0 NA NA NA 191 0 NA NA NA 430 206 NA NA NA 1094 571 NA NA
1547334000.0 140.0 76 94 291 0 NA 128 360 388 0 NA 7490 604 1244 363 NA 9183 2326 2729 833 NA
1547334000.0 2017.3 335 0 108 NA NA 543 0 180 NA NA 1480 358 783 NA NA 2326 526 1181 NA NA
1547334000.0 2017.8 189 NA NA NA NA 274 NA NA NA NA 514 NA NA NA NA 1107 NA NA NA NA
1547334000.0 2017.9 337 0 106 NA NA 543 0 179 NA NA 1540 316 732 NA NA 1815 441 1084 NA NA
1547334000.0 250400.17 464 0 120 NA NA 585 0 193 NA NA 1583 287 655 NA NA 1838 415 1142 NA NA
1547334000.0 280.0 124 99 409 0 NA 257 368 522 0 NA 3913 506 1709 487 NA 3346 909 3624 777 NA
1547334000.0 4.22 NA 193 67 64 0 NA 283 116 128 0 NA 1378 608 478 324 NA 3218 1283 578 493
1547334000.0 4.65 NA 30 421 0 NA NA 79 524 0 NA NA 292 10041 669 NA NA 764 7814 928 NA
1547334000.0 500200.1 93 175 218 NA NA 160 389 319 NA NA 2878 1143 1768 NA NA 2460 1332 1525 NA NA
1547334000.0 503.0 42 0 NA NA NA 79 0 NA NA NA 214 120 NA NA NA 856 410 NA NA NA
1547334000.0 504.0 40 0 NA NA NA 80 0 NA NA NA 212 121 NA NA NA 1502 576 NA NA NA
1547334000.0 505.0 42 0 NA NA NA 79 0 NA NA NA 187 123 NA NA NA 793 601 NA NA NA
