Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547334000.0 1.0 94 84 162 NA NA 186 359 294 NA NA 1656 593 996 NA NA 1765 989 2079 NA NA
1547334000.0 10004.0 NA 212 629 92 0 NA 479 802 135 0 NA 2184 2983 532 2081 NA 3325 3461 587 2125
1547334000.0 10006.0 NA 205 548 85 0 NA 493 791 134 0 NA 1400 2270 375 1713 NA 2880 2861 475 1799
1547334000.0 10007.0 NA 203 631 95 0 NA 487 797 145 0 NA 2398 2937 574 2468 NA 3771 3211 627 2541
1547334000.0 10008.0 NA 225 631 104 0 NA 487 797 144 0 NA 1358 2253 388 1785 NA 2391 2404 481 2040
1547334000.0 10009.0 NA 219 568 99 0 NA 480 796 145 0 NA 1419 2345 390 1728 NA 2607 2736 505 1834
1547334000.0 10026.0 NA 259 645 98 0 NA 487 822 145 0 NA 1568 2737 401 1808 NA 2523 3270 496 2562
1547334000.0 1003.0 NA 314 0 NA NA NA 430 0 NA NA NA 3868 572 NA NA NA 2023 667 NA NA
1547334000.0 10059.0 NA 253 662 95 0 NA 486 825 143 0 NA 1981 3476 455 1996 NA 3666 4247 690 2093
1547334000.0 101.0 81 NA NA NA NA 150 NA NA NA NA 1649 NA NA NA NA 3205 NA NA NA NA
1547334000.0 1010.0 NA 29 70 0 NA NA 73 121 0 NA NA 175 337 231 NA NA 469 589 419 NA
1547334000.0 102.0 80 NA NA NA NA 150 NA NA NA NA 1191 NA NA NA NA 2367 NA NA NA NA
1547334000.0 1020.0 NA 36 NA NA NA NA 114 NA NA NA NA 378 NA NA NA NA 752 NA NA NA
1547334000.0 103.0 43 0 0 NA NA 91 0 0 NA NA 800 229 1521 NA NA 877 331 2064 NA NA
1547334000.0 1030.0 NA 176 46 0 NA NA 320 84 0 NA NA 10720 330 88 NA NA 5156 380 354 NA
1547334000.0 105.0 96 80 26 NA NA 182 368 66 NA NA 3398 1152 195 NA NA 3022 1261 487 NA NA
1547334000.0 107.0 102 92 410 NA NA 187 368 519 NA NA 3459 542 1794 NA NA 3065 466 2225 NA NA
1547334000.0 10825.0 79 210 645 89 0 130 478 810 136 0 6412 2825 2881 494 2575 3976 4270 2678 568 2648
1547334000.0 109.0 102 94 417 NA NA 190 360 512 NA NA 4814 526 1736 NA NA 3498 531 2021 NA NA
