Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1547460000.0 10002.0 NA 161 352 0 74 NA NA 562 546 0 135 NA NA 1096 3610 2131 509 NA NA 726 4188 2815 579 NA
1547460000.0 10007.0 NA 171 352 0 86 NA NA 634 542 0 128 NA NA 915 3669 2011 392 NA NA 848 4242 2129 669 NA
1547460000.0 10008.0 NA 162 353 0 83 NA NA 562 547 0 129 NA NA 1291 3831 1928 428 NA NA 761 4664 2103 780 NA
1547460000.0 1002.0 NA 296 87 NA NA NA NA 431 141 NA NA NA NA 5638 474 NA NA NA NA 6344 366 NA NA NA
1547460000.0 10024.0 NA 171 366 0 73 NA NA 562 543 0 130 NA NA 1239 4088 2242 657 NA NA 754 4321 2839 1292 NA
1547460000.0 10024.4 NA 168 361 0 NA NA NA 475 552 0 NA NA NA 1275 3873 2136 NA NA NA 1749 4678 2749 NA NA
1547460000.0 10025.0 NA 155 356 0 75 NA NA 565 563 0 124 NA NA 1254 3954 1936 546 NA NA 965 4462 2280 958 NA
1547460000.0 10026.0 NA 173 377 0 79 NA NA 563 588 0 129 NA NA 1576 4557 2090 615 NA NA 1120 4579 2277 736 NA
1547460000.0 10059.0 NA 177 382 0 80 NA NA 608 587 0 135 NA NA 1138 4722 1924 593 NA NA 743 4296 2281 1097 NA
1547460000.0 101.0 93 NA NA NA NA NA 161 NA NA NA NA NA 796 NA NA NA NA NA 1083 NA NA NA NA NA
1547460000.0 1010.0 NA 30 39 0 NA NA NA 88 99 0 NA NA NA 107 161 126 NA NA NA 323 251 232 NA NA
1547460000.0 102.0 85 NA NA NA NA NA 161 NA NA NA NA NA 703 NA NA NA NA NA 961 NA NA NA NA NA
1547460000.0 1020.0 NA 78 30 0 79 NA NA 147 71 0 153 NA NA 236 90 58 210 NA NA 457 220 179 286 NA
1547460000.0 103.0 72 102 278 NA NA NA 180 581 437 NA NA NA 1736 557 2933 NA NA NA 1956 1106 4629 NA NA NA
1547460000.0 1040.0 NA 336 35 0 NA NA NA 556 77 0 NA NA NA 20346 296 228 NA NA NA 8012 419 352 NA NA
1547460000.0 1040.1 NA 81 36 0 NA NA NA 147 76 0 NA NA NA 538 109 109 NA NA NA 660 220 408 NA NA
1547460000.0 10424.0 NA 167 363 0 NA NA NA 562 535 0 NA NA NA 1212 3758 2225 NA NA NA 1746 4644 2952 NA NA
1547460000.0 105.0 81 105 41 NA NA NA 194 584 77 NA NA NA 2049 401 89 NA NA NA 1675 317 129 NA NA NA
1547460000.0 106.0 50 0 0 NA NA NA 107 0 0 NA NA NA 668 626 2771 NA NA NA 902 964 3696 NA NA NA
1547460000.0 107.0 110 106 278 NA NA NA 213 582 416 NA NA NA 2413 592 2637 NA NA NA 1725 506 2985 NA NA NA
1547460000.0 108.0 105 99 283 NA NA NA 213 583 421 NA NA NA 5505 939 2924 NA NA NA 3124 965 3432 NA NA NA
1547460000.0 10802.0 NA 296 398 0 86 186 NA 677 592 0 147 271 NA 2413 2300 2088 487 1189 NA 2131 2191 2127 544 1233
1547460000.0 10803.0 NA 271 401 0 88 185 NA 597 578 0 145 257 NA 2978 2585 2098 515 1155 NA 2294 2460 2140 540 1192
1547460000.0 10805.0 NA 283 396 0 89 185 NA 609 583 0 148 253 NA 2637 3344 1964 492 1046 NA 1959 3623 2007 541 1093
1547460000.0 10806.0 NA 290 397 0 89 148 NA 715 582 0 138 227 NA 2182 2198 1962 509 1054 NA 1773 2127 1999 560 1217
1547460000.0 10809.0 NA 286 401 0 105 185 NA 600 604 0 152 259 NA 2881 2468 2324 469 1221 NA 2417 2285 2375 524 1292
1547460000.0 10824.0 NA 277 413 0 97 183 NA 661 592 0 162 255 NA 2963 2841 2245 537 1244 NA 2273 2600 2293 517 1277
1547460000.0 10824.5 NA 274 166 0 NA NA NA 624 253 0 NA NA NA 2845 933 217 NA NA NA 3488 1897 441 NA NA
1547460000.0 10825.0 NA 299 403 0 86 180 NA 695 604 0 146 254 NA 2403 2311 2022 485 1132 NA 1929 2149 2064 536 1171
1547460000.0 10826.0 NA 314 421 0 88 190 NA 691 617 0 146 271 NA 2733 4120 2032 569 1089 NA 1940 3656 2076 551 1149
1547460000.0 10842.0 NA 298 410 0 96 182 NA 646 579 0 160 254 NA 2667 2564 2090 499 1212 NA 2281 2310 2134 545 1264
1547460000.0 10859.0 NA 310 423 0 105 188 NA 683 617 0 160 274 NA 2508 3077 2020 532 1115 NA 1863 2298 2081 570 1147
1547460000.0 1102.0 NA 117 313 166 115 NA NA 591 429 243 177 NA NA 3719 5173 1830 307 NA NA 1897 3217 860 229 NA
1547460000.0 111.0 97 104 279 NA NA NA 194 581 428 NA NA NA 1755 570 2525 NA NA NA 1432 511 3393 NA NA NA
1547460000.0 11224.0 NA 269 397 0 NA NA NA 691 594 0 NA NA NA 1815 2400 2179 NA NA NA 2102 4041 2760 NA NA
1547460000.0 11224.6 NA 274 391 0 NA NA NA 680 598 0 NA NA NA 1755 2250 2108 NA NA NA 1651 2829 2677 NA NA
1547460000.0 113.0 106 99 273 NA NA NA 223 584 420 NA NA NA 3354 894 3420 NA NA NA 1616 845 3947 NA NA NA
1547460000.0 114.0 106 105 289 NA NA NA 207 536 435 NA NA NA 3644 763 2629 NA NA NA 2126 831 2965 NA NA NA
1547460000.0 11624.0 74 177 381 0 88 NA 133 605 535 0 127 NA 5231 1060 2184 1306 292 NA 1886 796 1979 1355 663 NA
1547460000.0 117.0 91 103 290 NA NA NA 215 581 427 NA NA NA 5165 689 2800 NA NA NA 3608 598 3050 NA NA NA
1547460000.0 118.0 85 108 289 NA NA NA 213 535 428 NA NA NA 5206 926 2831 NA NA NA 4041 952 3228 NA NA NA
1547460000.0 119.0 89 108 280 NA NA NA 207 583 419 NA NA NA 2451 928 2447 NA NA NA 1800 1151 3038 NA NA NA
1547460000.0 12024.0 73 170 367 0 NA NA 131 556 556 0 NA NA 5129 1479 3379 1864 NA NA 2823 1288 3627 2538 NA NA
1547460000.0 121.0 111 102 294 NA NA NA 215 582 444 NA NA NA 4847 799 2984 NA NA NA 2690 950 3619 NA NA NA
1547460000.0 122.0 57 0 0 NA NA NA 107 0 0 NA NA NA 988 332 1796 NA NA NA 1088 604 2623 NA NA NA
1547460000.0 123.1 286 NA NA NA NA NA 682 NA NA NA NA NA 1045 NA NA NA NA NA 1096 NA NA NA NA NA
1547460000.0 123.2 295 NA NA NA NA NA 717 NA NA NA NA NA 1120 NA NA NA NA NA 908 NA NA NA NA NA
1547460000.0 123.3 241 NA NA NA NA NA 683 NA NA NA NA NA 933 NA NA NA NA NA 1087 NA NA NA NA NA
1547460000.0 124.1 265 NA NA NA NA NA 696 NA NA NA NA NA 993 NA NA NA NA NA 1107 NA NA NA NA NA
1547460000.0 124.2 270 NA NA NA NA NA 700 NA NA NA NA NA 1065 NA NA NA NA NA 1242 NA NA NA NA NA
1547460000.0 124.4 269 NA NA NA NA NA 698 NA NA NA NA NA 993 NA NA NA NA NA 1264 NA NA NA NA NA
1547460000.0 124.5 273 NA NA NA NA NA 684 NA NA NA NA NA 1062 NA NA NA NA NA 1313 NA NA NA NA NA
1547460000.0 124.6 229 NA NA NA NA NA 680 NA NA NA NA NA 893 NA NA NA NA NA 1316 NA NA NA NA NA
1547460000.0 125.0 100 108 288 NA NA NA 215 584 438 NA NA NA 2524 613 2527 NA NA NA 2061 533 3085 NA NA NA
1547460000.0 126.0 71 111 287 NA NA NA 141 582 412 NA NA NA 1283 641 2321 NA NA NA 1250 507 2596 NA NA NA
1547460000.0 127.0 61 102 277 NA NA NA 136 582 427 NA NA NA 1763 514 1900 NA NA NA 2408 418 2492 NA NA NA
1547460000.0 129.0 67 111 272 NA NA NA 130 582 410 NA NA NA 1250 503 1987 NA NA NA 1749 530 2162 NA NA NA
1547460000.0 130.0 69 90 269 NA NA NA 144 538 420 NA NA NA 1515 924 3248 NA NA NA 1039 753 3970 NA NA NA
1547460000.0 1301.17 76 157 236 NA NA NA 142 588 417 NA NA NA 2704 927 2155 NA NA NA 2732 889 3505 NA NA NA
1547460000.0 1308.0 NA 127 194 56 0 NA NA 555 281 95 0 NA NA 528 523 179 320 NA NA 445 546 432 380 NA
1547460000.0 1310.0 NA 139 339 0 NA NA NA 608 470 0 NA NA NA 862 3736 1370 NA NA NA 719 4714 1590 NA NA
1547460000.0 1313.0 NA 142 335 0 NA NA NA 607 488 0 NA NA NA 648 4715 1425 NA NA NA 690 6218 1878 NA NA
1547460000.0 1321.0 NA 134 334 0 NA NA NA 607 486 0 NA NA NA 823 3294 1216 NA NA NA 1240 4213 1323 NA NA
1547460000.0 1323.0 NA 132 326 0 NA NA NA 562 446 0 NA NA NA 696 3295 1375 NA NA NA 692 5447 1726 NA NA
1547460000.0 1325.0 NA 141 340 0 81 NA NA 562 482 0 128 NA NA 1167 3986 1439 516 NA NA 702 4712 2110 749 NA
