Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1546207200.0 1.0 77 115 232 NA NA NA NA NA NA 189 596 370 NA NA NA NA NA NA 1583 395 818 NA NA NA NA NA NA 865 340 923 NA NA NA NA NA NA
1546207200.0 10.0 NA 137 324 0 NA NA NA NA NA NA 559 471 0 NA NA NA NA NA NA 2225 2782 542 NA NA NA NA NA NA 1270 1644 662 NA NA NA NA NA
1546207200.0 1000.0 NA 321 211 0 64 NA NA NA NA NA 448 290 0 109 NA NA NA NA NA 2500 1161 684 290 NA NA NA NA NA 1412 945 739 352 NA NA NA NA
1546207200.0 10001.0 NA 186 375 0 88 NA NA NA NA NA 607 571 0 126 NA NA NA NA NA 582 1518 919 338 NA NA NA NA NA 407 1577 978 362 NA NA NA NA
1546207200.0 10002.0 NA 179 379 0 87 NA NA NA NA NA 609 540 0 127 NA NA NA NA NA 732 1403 873 200 NA NA NA NA NA 431 1602 933 273 NA NA NA NA
1546207200.0 10003.0 NA 190 390 0 76 NA NA NA NA NA 608 560 0 126 NA NA NA NA NA 583 1520 927 252 NA NA NA NA NA 412 1520 997 348 NA NA NA NA
1546207200.0 10004.0 NA 184 378 0 77 NA NA NA NA NA 567 573 0 126 NA NA NA NA NA 578 1441 917 346 NA NA NA NA NA 400 1451 970 341 NA NA NA NA
1546207200.0 10005.0 NA 186 381 0 88 NA NA NA NA NA 610 539 0 126 NA NA NA NA NA 610 1609 923 248 NA NA NA NA NA 446 1664 984 350 NA NA NA NA
1546207200.0 10006.0 NA 187 371 0 79 NA NA NA NA NA 566 571 0 126 NA NA NA NA NA 601 1757 919 357 NA NA NA NA NA 438 2038 966 360 NA NA NA NA
1546207200.0 10007.0 NA 178 390 0 88 NA NA NA NA NA 610 567 0 127 NA NA NA NA NA 608 1586 930 250 NA NA NA NA NA 449 1726 994 340 NA NA NA NA
1546207200.0 10008.0 NA 185 386 0 81 NA NA NA NA NA 610 584 0 128 NA NA NA NA NA 741 1583 927 251 NA NA NA NA NA 467 1546 995 335 NA NA NA NA
1546207200.0 10009.0 NA 189 386 0 87 NA NA NA NA NA 609 542 0 128 NA NA NA NA NA 601 1588 925 358 NA NA NA NA NA 420 1546 986 363 NA NA NA NA
1546207200.0 1001.0 NA 281 123 0 0 0 0 0 0 NA 433 183 0 0 0 0 0 0 NA 2499 773 94 95 116 217 113 220 NA 1636 594 135 157 158 252 146 256
1546207200.0 1001.2 NA 382 135 0 NA NA NA NA NA NA 597 214 0 NA NA NA NA NA NA 14774 1945 163 NA NA NA NA NA NA 6099 1666 383 NA NA NA NA NA
1546207200.0 1002.0 NA 319 97 NA NA NA NA NA NA NA 453 134 NA NA NA NA NA NA NA 2473 353 NA NA NA NA NA NA NA 1895 235 NA NA NA NA NA NA
1546207200.0 10023.0 NA 170 366 0 87 NA NA NA NA NA 609 566 0 126 NA NA NA NA NA 702 1481 848 272 NA NA NA NA NA 471 1497 909 294 NA NA NA NA
1546207200.0 10024.0 NA 190 396 0 89 NA NA NA NA NA 612 583 0 133 NA NA NA NA NA 695 1876 954 263 NA NA NA NA NA 449 1629 1047 341 NA NA NA NA
1546207200.0 10024.1 NA 178 187 0 NA NA NA NA NA NA 575 329 0 NA NA NA NA NA NA 781 785 339 NA NA NA NA NA NA 705 1424 659 NA NA NA NA NA
1546207200.0 10024.2 NA 176 397 0 NA NA NA NA NA NA 610 562 0 NA NA NA NA NA NA 729 1668 942 NA NA NA NA NA NA 860 2013 1109 NA NA NA NA NA
1546207200.0 10024.3 NA 187 189 0 NA NA NA NA NA NA 609 347 0 NA NA NA NA NA NA 680 764 320 NA NA NA NA NA NA 476 1242 644 NA NA NA NA NA
1546207200.0 10024.4 NA 177 380 0 NA NA NA NA NA NA 612 568 0 NA NA NA NA NA NA 735 1598 947 NA NA NA NA NA NA 927 1759 1109 NA NA NA NA NA
1546207200.0 10024.5 NA 180 156 0 NA NA NA NA NA NA 618 233 0 NA NA NA NA NA NA 767 462 123 NA NA NA NA NA NA 808 813 195 NA NA NA NA NA
1546207200.0 10025.0 NA 191 384 0 82 NA NA NA NA NA 612 572 0 126 NA NA NA NA NA 772 1701 955 260 NA NA NA NA NA 485 1695 1015 358 NA NA NA NA
1546207200.0 10026.0 NA 194 409 0 84 NA NA NA NA NA 610 584 0 126 NA NA NA NA NA 704 2390 960 359 NA NA NA NA NA 457 2225 1022 366 NA NA NA NA
