Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1547460000.0 1001.2 NA 367 138 0 NA 585 206 0 NA 20005 2055 156 NA 9285 1384 240
1547460000.0 1002.0 NA 311 89 NA NA 459 137 NA NA 3645 473 NA NA 2738 441 NA
1547460000.0 10024.1 NA 182 190 0 NA 608 346 0 NA 988 913 400 NA 823 1759 597
1547460000.0 10024.2 NA 173 371 0 NA 609 582 0 NA 1098 2475 1384 NA 1592 2360 1616
1547460000.0 10024.3 NA 182 173 0 NA 612 351 0 NA 923 846 358 NA 583 1535 523
1547460000.0 10024.5 NA 177 141 0 NA 611 242 0 NA 836 553 164 NA 757 1084 321
1547460000.0 101.0 94 NA NA NA 161 NA NA NA 903 NA NA NA 1524 NA NA NA
1547460000.0 1010.0 NA 34 43 0 NA 86 100 0 NA 139 204 152 NA 399 363 235
1547460000.0 102.0 99 NA NA NA 161 NA NA NA 782 NA NA NA 1064 NA NA NA
1547460000.0 1040.1 NA 72 34 0 NA 137 74 0 NA 471 125 116 NA 1012 318 210
1547460000.0 10424.0 NA 178 364 0 NA 575 571 0 NA 1103 2764 1251 NA 930 3858 1418
1547460000.0 106.0 52 0 0 NA 106 0 0 NA 474 310 1241 NA 1169 439 2176 NA
1547460000.0 10824.5 NA 298 169 0 NA 642 248 0 NA 2601 667 171 NA 2161 1200 338
1547460000.0 111.0 93 113 297 NA 190 597 433 NA 1164 483 1517 NA 1449 685 2194 NA
1547460000.0 114.0 94 117 293 NA 215 594 451 NA 2205 739 1880 NA 2372 710 2169 NA
1547460000.0 117.0 112 113 289 NA 220 549 431 NA 4353 793 2010 NA 2955 916 2174 NA
1547460000.0 118.0 94 120 287 NA 209 549 450 NA 5165 857 2225 NA 2213 725 2264 NA
1547460000.0 121.0 111 117 284 NA 215 595 444 NA 4969 776 2226 NA 3181 795 2431 NA
1547460000.0 122.0 50 0 0 NA 105 0 0 NA 997 340 1309 NA 980 340 2633 NA
1547460000.0 124.6 237 NA NA NA 685 NA NA NA 1063 NA NA NA 1584 NA NA NA
1547460000.0 125.0 115 116 286 NA 216 595 443 NA 2470 643 1823 NA 1089 574 2197 NA
1547460000.0 128.0 64 110 288 NA 133 506 425 NA 617 616 1713 NA 2260 592 2077 NA
1547460000.0 1301.0 93 142 237 NA 161 602 359 NA 1710 690 1161 NA 933 620 1610 NA
1547460000.0 1301.17 76 168 248 NA 145 599 433 NA 1398 781 1060 NA 1564 1368 1481 NA
1547460000.0 1302.0 104 144 241 NA 180 554 350 NA 3460 815 1267 NA 1373 793 1680 NA
1547460000.0 1303.0 98 143 220 NA 183 601 373 NA 8859 758 1810 NA 4603 601 1781 NA
1547460000.0 1303.17 83 179 257 NA 157 557 448 NA 9208 903 1942 NA 4983 826 1835 NA
1547460000.0 131.0 72 102 292 NA 142 551 436 NA 1463 779 2048 NA 1339 1037 3122 NA
1547460000.0 1323.0 NA 137 327 0 NA 609 483 0 NA 774 2221 905 NA 1151 4364 1219
1547460000.0 1325.1 NA 152 169 0 NA 610 253 0 NA 673 760 348 NA 641 1296 574
1547460000.0 1325.3 NA 156 155 0 NA 609 267 0 NA 688 745 346 NA 700 1503 537
