Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1546207200.0 1.0 65 76 170 NA NA NA NA 118 116 224 NA NA NA NA 3048 698 1858 NA NA NA NA 3824 811 2074 NA NA NA NA
1546207200.0 10.0 NA 113 270 0 NA NA NA NA 186 328 0 NA NA NA NA 6024 8395 1477 NA NA NA NA 6548 9254 1674 NA NA NA
1546207200.0 1000.0 NA 278 175 0 68 NA NA NA 361 267 0 88 NA NA NA 7300 3439 1969 733 NA NA NA 8134 4650 2187 913 NA NA
1546207200.0 10001.0 NA 100 299 0 72 NA NA NA 182 361 0 109 NA NA NA 929 3326 2735 550 NA NA NA 1190 3831 3308 802 NA NA
1546207200.0 10002.0 NA 107 301 0 71 NA NA NA 182 361 0 109 NA NA NA 937 3658 2503 561 NA NA NA 1202 4851 2715 835 NA NA
1546207200.0 10003.0 NA 103 305 0 72 NA NA NA 185 364 0 109 NA NA NA 978 3727 2690 565 NA NA NA 1312 5017 3432 868 NA NA
1546207200.0 10004.0 NA 103 300 0 72 NA NA NA 182 361 0 109 NA NA NA 949 3668 2672 560 NA NA NA 1284 5065 3564 835 NA NA
1546207200.0 10005.0 NA 103 300 0 71 NA NA NA 182 361 0 109 NA NA NA 929 3519 2588 555 NA NA NA 1185 4534 2835 829 NA NA
1546207200.0 10006.0 NA 101 301 0 72 NA NA NA 185 360 0 108 NA NA NA 948 3324 2641 563 NA NA NA 1206 3922 2933 818 NA NA
1546207200.0 10007.0 NA 106 298 0 72 NA NA NA 185 362 0 109 NA NA NA 1022 3714 2573 515 NA NA NA 1336 4784 2843 636 NA NA
1546207200.0 10008.0 NA 102 300 0 72 NA NA NA 185 362 0 109 NA NA NA 1007 3717 2603 561 NA NA NA 1341 4962 2810 854 NA NA
1546207200.0 10009.0 NA 103 302 0 71 NA NA NA 185 364 0 109 NA NA NA 1014 3662 2736 561 NA NA NA 1744 4606 3449 833 NA NA
1546207200.0 1002.0 NA 258 69 NA NA NA NA NA 351 114 NA NA NA NA NA 6793 932 NA NA NA NA NA 7986 1044 NA NA NA NA
1546207200.0 10023.0 NA 102 299 0 72 NA NA NA 183 363 0 108 NA NA NA 986 3560 2707 539 NA NA NA 1295 4731 3434 713 NA NA
1546207200.0 10024.1 NA 109 170 0 NA NA NA NA 189 210 0 NA NA NA NA 1992 1843 824 NA NA NA NA 3046 2627 902 NA NA NA
1546207200.0 10024.2 NA 107 301 0 NA NA NA NA 189 367 0 NA NA NA NA 1239 4234 2623 NA NA NA NA 2098 5275 3004 NA NA NA
1546207200.0 10024.3 NA 112 162 0 NA NA NA NA 189 201 0 NA NA NA NA 1987 1737 738 NA NA NA NA 2566 1935 804 NA NA NA
1546207200.0 10024.4 NA 106 300 0 NA NA NA NA 189 365 0 NA NA NA NA 1218 4171 2536 NA NA NA NA 1800 5312 2901 NA NA NA
1546207200.0 10024.5 NA 108 87 0 NA NA NA NA 189 124 0 NA NA NA NA 1336 1190 279 NA NA NA NA 1863 1699 313 NA NA NA
1546207200.0 10025.0 NA 105 304 0 72 NA NA NA 186 365 0 109 NA NA NA 1085 3672 2606 562 NA NA NA 1360 4606 2836 788 NA NA
1546207200.0 1003.0 NA 223 0 NA NA NA NA NA 312 0 NA NA NA NA NA 7184 1525 NA NA NA NA NA 8216 1747 NA NA NA NA
1546207200.0 1004.0 NA 192 96 0 0 0 0 NA 271 131 0 0 0 0 NA 2021 563 163 256 476 476 NA 3126 743 501 309 523 521
1546207200.0 101.0 105 NA NA NA NA NA NA 146 NA NA NA NA NA NA 2024 NA NA NA NA NA NA 2763 NA NA NA NA NA NA
1546207200.0 1010.0 NA 40 49 0 NA NA NA NA 100 75 0 NA NA NA NA 250 313 219 NA NA NA NA 522 594 421 NA NA NA
1546207200.0 102.0 94 NA NA NA NA NA NA 146 NA NA NA NA NA NA 1734 NA NA NA NA NA NA 2253 NA NA NA NA NA NA
