Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1547334000.0 101.0 92 NA NA 146 NA NA 2015 NA NA 2517 NA NA
1547334000.0 102.0 105 NA NA 146 NA NA 1763 NA NA 2374 NA NA
1547334000.0 123.1 206 NA NA 264 NA NA 2151 NA NA 3208 NA NA
1547334000.0 123.2 209 NA NA 265 NA NA 2253 NA NA 3244 NA NA
1547334000.0 123.3 195 NA NA 241 NA NA 1777 NA NA 2766 NA NA
1547334000.0 124.1 209 NA NA 256 NA NA 1707 NA NA 2674 NA NA
1547334000.0 124.2 204 NA NA 264 NA NA 2041 NA NA 3059 NA NA
1547334000.0 124.4 199 NA NA 256 NA NA 1758 NA NA 2764 NA NA
1547334000.0 124.5 212 NA NA 256 NA NA 1706 NA NA 2558 NA NA
1547334000.0 124.6 189 NA NA 241 NA NA 1753 NA NA 2753 NA NA
1547334000.0 135.8 90 NA NA 136 NA NA 695 NA NA 961 NA NA
1547334000.0 136.7721 NA 164 0 NA 243 0 NA 5933 331 NA 7739 642
1547334000.0 250199.0 146 NA NA 227 NA NA 6415 NA NA 7362 NA NA
1547334000.0 250199.17 163 NA NA 244 NA NA 7766 NA NA 8851 NA NA
1547334000.0 250399.0 132 NA NA 194 NA NA 1749 NA NA 2355 NA NA
1547334000.0 250399.17 151 NA NA 215 NA NA 2252 NA NA 3377 NA NA
