Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1547416800.0 103.0 49 0 0 NA 93 0 0 NA 1055 365 2660 NA 1397 825 3085 NA
1547416800.0 106.0 49 0 0 NA 93 0 0 NA 1067 351 2675 NA 1500 551 3177 NA
1547416800.0 110.0 59 82 246 NA 107 115 305 NA 1345 787 3106 NA 1842 1393 4227 NA
1547416800.0 120.0 57 91 244 NA 107 115 305 NA 1169 756 3050 NA 1655 1187 3816 NA
1547416800.0 122.0 67 92 243 NA 116 115 305 NA 1213 552 3159 NA 1740 1111 4283 NA
1547416800.0 128.0 58 94 242 NA 100 117 305 NA 1115 792 3113 NA 1998 1581 4635 NA
1547416800.0 129.0 58 84 243 NA 100 115 305 NA 1137 783 3077 NA 1680 1248 3967 NA
1547416800.0 130.0 60 91 246 NA 107 115 305 NA 1276 775 3125 NA 1679 1241 4516 NA
1547416800.0 1325.5 NA 153 0 NA NA 238 0 NA NA 5014 335 NA NA 6482 547 NA
1547416800.0 1325.6 NA 140 NA NA NA 232 NA NA NA 9975 NA NA NA 12856 NA NA
1547416800.0 136.788 NA 71 350 0 NA 148 423 0 NA 1216 53695 2781 NA 1662 61521 2943
1547416800.0 136.816 NA 72 320 0 NA 149 380 0 NA 1418 54696 3103 NA 1843 62410 3237
1547416800.0 136.819 NA 71 347 0 NA 146 416 0 NA 1272 58911 3010 NA 1722 66943 3144
1547416800.0 136.82 NA 72 362 0 NA 149 435 0 NA 1272 58891 3039 NA 1709 66882 3157
1547416800.0 136.826 NA 90 314 0 NA 150 375 0 NA 1661 51251 3039 NA 1947 57070 3410
1547416800.0 136.828 NA 72 327 0 NA 149 387 0 NA 1442 53587 3080 NA 1881 61496 3432
1547416800.0 136.829 NA 71 346 0 NA 147 414 0 NA 1248 55570 3014 NA 1648 61157 3230
1547416800.0 136.83 NA 72 314 0 NA 149 377 0 NA 1672 54021 3023 NA 2099 62003 3141
1547416800.0 136.831 NA 72 344 0 NA 150 415 0 NA 1342 59105 3047 NA 1747 67005 3397
1547416800.0 136.833 NA 73 318 0 NA 150 381 0 NA 1503 57917 2994 NA 1954 63417 3108
1547416800.0 136.834 NA 72 315 0 NA 147 378 0 NA 1233 53249 3084 NA 1623 58766 3691
1547416800.0 136.835 NA 73 367 0 NA 147 439 0 NA 1504 55377 3029 NA 1951 61152 3148
1547416800.0 136.838 NA 73 316 0 NA 151 379 0 NA 1802 53064 3029 NA 2158 60978 3233
1547416800.0 136.847 NA 73 316 0 NA 151 377 0 NA 1777 51670 3038 NA 2183 57599 3589
1547416800.0 136.848 NA 73 321 0 NA 150 384 0 NA 1686 58881 3009 NA 2104 64632 3272
1547416800.0 136.861 NA 181 341 0 NA 275 401 0 NA 8639 49521 3984 NA 9369 57164 4352
1547416800.0 136.867 NA 181 393 0 NA 273 463 0 NA 9559 51797 4085 NA 10342 57630 4390
1547416800.0 136.873 NA 182 338 0 NA 273 400 0 NA 8439 45821 4176 NA 9189 53675 4451
1547416800.0 136.874 NA 186 401 0 NA 274 474 0 NA 8396 48703 4048 NA 9191 56395 4301
1547416800.0 136.875 NA 181 340 0 NA 275 404 0 NA 9976 47124 4047 NA 10687 52678 4359
1547416800.0 136.877 NA 182 397 0 NA 276 472 0 NA 8547 50662 4148 NA 9592 56355 4373
1547416800.0 136.878 NA 187 350 0 NA 277 412 0 NA 9943 52123 4094 NA 10733 60484 4382
1547416800.0 136.879 NA 183 387 0 NA 272 460 0 NA 8680 45312 4040 NA 9467 50750 4360
1547416800.0 136.885 NA 180 341 0 NA 272 403 0 NA 8672 46425 3989 NA 9431 54118 4340
1547416800.0 136.886 NA 194 396 0 NA 286 478 0 NA 8792 49092 4116 NA 9526 54612 4443
1547416800.0 144.6 NA 259 NA NA NA 346 NA NA NA 5569 NA NA NA 7767 NA NA
1547416800.0 20261.97 242 NA NA NA 305 NA NA NA 8917 NA NA NA 10269 NA NA NA
1547416800.0 250199.0 144 NA NA NA 225 NA NA NA 6420 NA NA NA 7365 NA NA NA
1547416800.0 250199.17 163 NA NA NA 245 NA NA NA 6843 NA NA NA 7720 NA NA NA
1547416800.0 250199.18 196 NA NA NA 282 NA NA NA 10937 NA NA NA 12157 NA NA NA
1547416800.0 4000.0 NA 107 253 NA NA 184 321 NA NA 5577 9332 NA NA 5997 10563 NA
1547416800.0 4007.0 49 0 0 NA 93 0 0 NA 1074 347 2685 NA 1468 738 3165 NA
1547416800.0 4008.0 50 0 0 NA 93 0 0 NA 1077 343 2766 NA 1513 533 3735 NA
1547416800.0 500199.0 112 NA NA NA 194 NA NA NA 3885 NA NA NA 4214 NA NA NA
