Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1547460000.0 1.0 65 76 166 NA NA NA NA NA NA 118 116 224 NA NA NA NA NA NA 3097 791 2048 NA NA NA NA NA NA 3943 1255 2685 NA NA NA NA NA NA
1547460000.0 10001.0 NA 103 300 0 71 NA NA NA NA NA 183 361 0 109 NA NA NA NA NA 937 3637 2571 593 NA NA NA NA NA 1273 4901 2768 866 NA NA NA NA
1547460000.0 10002.0 NA 103 299 0 72 NA NA NA NA NA 183 362 0 109 NA NA NA NA NA 922 3605 2567 591 NA NA NA NA NA 1242 4751 2758 899 NA NA NA NA
1547460000.0 10003.0 NA 103 299 0 72 NA NA NA NA NA 186 364 0 109 NA NA NA NA NA 1701 3661 2600 590 NA NA NA NA NA 2106 4557 2876 856 NA NA NA NA
1547460000.0 10004.0 NA 102 301 0 72 NA NA NA NA NA 183 361 0 109 NA NA NA NA NA 953 3604 2542 574 NA NA NA NA NA 1325 4850 2799 837 NA NA NA NA
1547460000.0 10005.0 NA 103 300 0 72 NA NA NA NA NA 183 362 0 109 NA NA NA NA NA 949 3632 2526 596 NA NA NA NA NA 1299 4798 2781 858 NA NA NA NA
1547460000.0 10006.0 NA 103 296 0 72 NA NA NA NA NA 185 360 0 109 NA NA NA NA NA 951 3418 2665 581 NA NA NA NA NA 1246 4217 3254 886 NA NA NA NA
1547460000.0 10007.0 NA 105 297 0 72 NA NA NA NA NA 185 362 0 109 NA NA NA NA NA 1015 3694 2683 570 NA NA NA NA NA 1476 4696 3304 803 NA NA NA NA
1547460000.0 10008.0 NA 103 300 0 72 NA NA NA NA NA 185 362 0 109 NA NA NA NA NA 1015 3749 2670 569 NA NA NA NA NA 1481 4941 3385 841 NA NA NA NA
1547460000.0 10009.0 NA 106 296 0 72 NA NA NA NA NA 185 365 0 109 NA NA NA NA NA 1718 3769 2630 597 NA NA NA NA NA 2142 4593 2839 868 NA NA NA NA
