Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1546729200.0 1.0 100 87 143 NA NA NA NA NA 185 361 236 NA NA NA NA NA 1556 377 271 NA NA NA NA NA 1074 412 365 NA NA NA NA NA
1546729200.0 10.0 NA 122 487 0 NA NA NA NA NA 377 581 0 NA NA NA NA NA 3854 3062 565 NA NA NA NA NA 2257 1315 575 NA NA NA NA
1546729200.0 1000.0 NA 471 157 0 46 NA NA NA NA 584 251 0 92 NA NA NA NA 4100 1324 894 187 NA NA NA NA 2613 875 917 210 NA NA NA
1546729200.0 10001.0 NA 182 658 81 0 NA NA NA NA 504 815 133 0 NA NA NA NA 875 1397 240 1469 NA NA NA NA 930 1761 438 1502 NA NA NA
1546729200.0 10002.0 NA 210 655 81 0 NA NA NA NA 489 805 134 0 NA NA NA NA 693 1121 202 1438 NA NA NA NA 806 1050 292 1484 NA NA NA
1546729200.0 10003.0 NA 187 661 83 0 NA NA NA NA 481 817 134 0 NA NA NA NA 852 1522 246 1460 NA NA NA NA 935 1922 548 1489 NA NA NA
1546729200.0 10004.0 NA 181 656 85 0 NA NA NA NA 481 814 132 0 NA NA NA NA 803 1411 246 1487 NA NA NA NA 893 1787 418 1583 NA NA NA
1546729200.0 10005.0 NA 198 651 81 0 NA NA NA NA 475 812 133 0 NA NA NA NA 2156 2013 416 2407 NA NA NA NA 2313 3152 694 2431 NA NA NA
1546729200.0 10006.0 NA 226 653 83 0 NA NA NA NA 489 812 133 0 NA NA NA NA 610 1000 185 1300 NA NA NA NA 859 1751 440 1332 NA NA NA
1546729200.0 10007.0 NA 228 654 92 0 NA NA NA NA 484 811 143 0 NA NA NA NA 669 1021 215 1313 NA NA NA NA 640 1462 330 1344 NA NA NA
1546729200.0 10008.0 NA 228 648 93 0 NA NA NA NA 482 814 145 0 NA NA NA NA 657 1042 204 1404 NA NA NA NA 628 1253 400 1434 NA NA NA
1546729200.0 10009.0 NA 182 659 92 0 NA NA NA NA 481 816 145 0 NA NA NA NA 835 1252 270 1486 NA NA NA NA 916 1341 492 1595 NA NA NA
1546729200.0 1001.0 NA 451 377 0 0 0 0 0 NA 532 463 0 0 0 0 0 NA 2704 627 10 34 501 27 315 NA 1555 759 46 80 514 34 324
1546729200.0 1002.0 NA 483 76 NA NA NA NA NA NA 560 125 NA NA NA NA NA NA 1886 298 NA NA NA NA NA NA 958 198 NA NA NA NA NA
1546729200.0 10023.0 NA 206 648 91 0 NA NA NA NA 483 816 133 0 NA NA NA NA 671 1271 185 1454 NA NA NA NA 706 1378 215 1481 NA NA NA
1546729200.0 10024.0 NA 218 677 93 0 NA NA NA NA 479 834 145 0 NA NA NA NA 2512 2917 459 2253 NA NA NA NA 2599 3833 764 2295 NA NA NA
1546729200.0 10024.1 NA 242 268 0 NA NA NA NA NA 484 371 0 NA NA NA NA NA 1714 831 400 NA NA NA NA NA 1684 675 409 NA NA NA NA
1546729200.0 10024.2 NA 241 675 0 NA NA NA NA NA 475 825 0 NA NA NA NA NA 1295 1858 1583 NA NA NA NA NA 1703 1587 1602 NA NA NA NA
1546729200.0 10024.3 NA 244 244 0 NA NA NA NA NA 474 350 0 NA NA NA NA NA 1666 790 336 NA NA NA NA NA 1679 674 344 NA NA NA NA
