Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1547334000.0 1.0 95 113 212 NA NA NA NA 193 550 317 NA NA NA NA 1791 585 1023 NA NA NA NA 1023 588 1313 NA NA NA NA
1547334000.0 10002.0 NA 165 357 0 75 NA NA NA 608 550 0 133 NA NA NA 1250 2809 1453 608 NA NA NA 964 3262 1650 859 NA NA
1547334000.0 10003.0 NA 170 358 0 75 NA NA NA 577 560 0 132 NA NA NA 1406 2909 1431 590 NA NA NA 932 3265 1548 815 NA NA
1547334000.0 10009.0 NA 170 365 0 76 NA NA NA 531 541 0 127 NA NA NA 1443 2860 1558 623 NA NA NA 1015 3190 1843 825 NA NA
1547334000.0 1001.2 NA 378 135 0 NA NA NA NA 578 219 0 NA NA NA NA 14760 1859 122 NA NA NA NA 5091 1608 270 NA NA NA
1547334000.0 1002.0 NA 315 87 NA NA NA NA NA 444 133 NA NA NA NA NA 2905 385 NA NA NA NA NA 2324 489 NA NA NA NA
1547334000.0 10023.0 NA 174 357 0 75 NA NA NA 609 584 0 126 NA NA NA 1152 2622 1627 474 NA NA NA 862 2946 1957 808 NA NA
1547334000.0 10024.1 NA 190 194 0 NA NA NA NA 610 358 0 NA NA NA NA 840 912 405 NA NA NA NA 581 1086 533 NA NA NA
1547334000.0 10024.3 NA 183 185 0 NA NA NA NA 611 331 0 NA NA NA NA 790 852 365 NA NA NA NA 566 1205 481 NA NA NA
1547334000.0 10024.5 NA 182 150 0 NA NA NA NA 611 235 0 NA NA NA NA 766 460 131 NA NA NA NA 590 748 338 NA NA NA
1547334000.0 10025.0 NA 167 371 0 77 NA NA NA 609 571 0 128 NA NA NA 1469 2642 1740 449 NA NA NA 983 2778 2689 476 NA NA
1547334000.0 10026.0 NA 187 395 0 87 NA NA NA 610 573 0 128 NA NA NA 1600 3376 1528 515 NA NA NA 1111 2586 1706 618 NA NA
1547334000.0 1003.0 NA 270 0 NA NA NA NA NA 411 0 NA NA NA NA NA 2982 679 NA NA NA NA NA 1783 851 NA NA NA NA
1547334000.0 1004.0 NA 248 103 0 0 0 0 NA 374 164 0 0 0 0 NA 1347 438 172 253 445 415 NA 1741 526 277 425 813 528
1547334000.0 101.0 86 NA NA NA NA NA NA 161 NA NA NA NA NA NA 825 NA NA NA NA NA NA 1084 NA NA NA NA NA NA
1547334000.0 1010.0 NA 35 41 0 NA NA NA NA 88 99 0 NA NA NA NA 162 196 116 NA NA NA NA 332 285 225 NA NA NA
1547334000.0 102.0 99 NA NA NA NA NA NA 161 NA NA NA NA NA NA 716 NA NA NA NA NA NA 850 NA NA NA NA NA NA
