Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1546639200.0 1.0 255 288 490 NA NA NA 2097340 2097290 2097370 NA NA NA 5070 1882 2173 NA NA NA 2341 1574 2242 NA NA NA
1546639200.0 10.0 NA 346 628 0 NA NA NA 2097310 2097470 0 NA NA NA 6310 11776 1283 NA NA NA 2560 6193 1394 NA NA
1546639200.0 1000.0 NA 601 406 0 215 NA NA 2097430 2097350 0 2097250 NA NA 7802 2672 2054 643 NA NA 3639 2427 2126 670 NA
1546639200.0 10001.0 NA 392 756 0 237 NA NA 2097330 2097460 0 2097260 NA NA 2571 4668 2803 584 NA NA 1823 6342 4268 676 NA
1546639200.0 10002.0 NA 391 747 0 224 NA NA 2097330 2097460 0 2097260 NA NA 3030 3780 2842 407 NA NA 2064 43416 4261 636 NA
1546639200.0 10003.0 NA 395 734 0 236 NA NA 2097330 2097460 0 2097260 NA NA 2036 4150 3229 580 NA NA 1156 4141 3340 770 NA
1546639200.0 10004.0 NA 362 669 0 227 NA NA 2097330 2097460 0 2097270 NA NA 3243 3985 3442 503 NA NA 2270 4815 3611 610 NA
1546639200.0 10005.0 NA 394 758 0 235 NA NA 2097330 2097460 0 2097270 NA NA 2380 3990 3682 657 NA NA 1365 4032 3869 907 NA
1546639200.0 10006.0 NA 393 746 0 236 NA NA 2097330 2097460 0 2097260 NA NA 3311 3350 3348 689 NA NA 2059 3368 3458 642 NA
1546639200.0 10007.0 NA 409 770 0 237 NA NA 2097330 2097460 0 2097260 NA NA 2563 4003 3459 572 NA NA 1447 3963 3585 700 NA
1546639200.0 10008.0 NA 379 609 0 237 NA NA 2097330 2097460 0 2097260 NA NA 3451 4307 3140 725 NA NA 2436 5681 3236 683 NA
1546639200.0 10009.0 NA 425 759 0 237 NA NA 2097330 2097460 0 2097270 NA NA 2096 4166 3283 681 NA NA 1456 4544 3453 632 NA
1546639200.0 10023.0 NA 390 728 0 231 NA NA 2097330 2097460 0 2097270 NA NA 3010 3903 3605 761 NA NA 2371 4117 3713 742 NA
1546639200.0 10024.0 NA 409 570 0 241 NA NA 2097330 2097470 0 2097260 NA NA 3496 9017 4271 584 NA NA 2341 11378 4985 701 NA
1546639200.0 10024.1 NA 389 529 0 NA NA NA 2097330 2097340 0 NA NA NA 3007 2143 759 NA NA NA 1674 1777 828 NA NA
1546639200.0 10024.2 NA 309 770 0 NA NA NA 2097340 2097460 0 NA NA NA 3441 5600 3469 NA NA NA 2478 4723 3613 NA NA
1546639200.0 10024.3 NA 391 488 0 NA NA NA 2097330 2097340 0 NA NA NA 2865 2465 607 NA NA NA 1495 2303 673 NA NA
1546639200.0 10024.4 NA 306 744 0 NA NA NA 2097330 2097470 0 NA NA NA 3880 7452 4468 NA NA NA 4185 6936 4933 NA NA
1546639200.0 10024.5 NA 411 301 0 NA NA NA 2097330 2097290 0 NA NA NA 2913 972 294 NA NA NA 1576 1078 394 NA NA
1546639200.0 10025.0 NA 392 579 0 238 NA NA 2097330 2097460 0 2097260 NA NA 2721 4970 3760 598 NA NA 1975 5598 3965 750 NA
1546639200.0 10026.0 NA 406 816 0 243 NA NA 2097330 2097480 0 2097270 NA NA 2546 7113 3539 723 NA NA 1383 5066 3774 706 NA
1546639200.0 1003.0 NA 558 0 NA NA NA NA 2097420 0 NA NA NA NA 10667 1722 NA NA NA NA 5023 1970 NA NA NA
1546639200.0 1004.0 NA 483 NA NA NA NA NA 2097390 NA NA NA NA NA 2132 NA NA NA NA NA 2122 NA NA NA NA
1546639200.0 10042.0 NA 389 773 0 225 NA NA 2097330 2097460 0 2097260 NA NA 5084 5127 4732 601 NA NA 3935 4471 4985 791 NA
1546639200.0 10059.0 NA 379 773 0 243 NA NA 2097330 2097480 0 2097270 NA NA 2914 8269 3149 498 NA NA 1828 5316 3261 650 NA
1546639200.0 10071.0 NA 403 624 0 240 NA NA 2097330 2097460 0 2097260 NA NA 2406 6123 3523 563 NA NA 1705 8169 3696 682 NA
1546639200.0 101.0 321 NA NA NA NA NA 2097320 NA NA NA NA NA 2243 NA NA NA NA NA 2662 NA NA NA NA NA
1546639200.0 1010.0 NA 124 146 0 NA NA NA 2097240 2097250 0 NA NA NA 283 407 345 NA NA NA 397 475 420 NA NA
1546639200.0 102.0 321 NA NA NA NA NA 2097320 NA NA NA NA NA 2002 NA NA NA NA NA 2418 NA NA NA NA NA
1546639200.0 1020.0 NA 196 113 0 199 NA NA 2097270 2097230 0 2097270 NA NA 418 151 104 459 NA NA 550 206 206 590 NA
1546639200.0 10224.0 NA 611 1022 0 NA NA NA 2097390 2097560 0 NA NA NA 7267 12207 3167 NA NA NA 3100 5346 3244 NA NA
1546639200.0 10225.0 NA 581 980 0 NA NA NA 2097380 2097560 0 NA NA NA 7942 11783 3275 NA NA NA 4223 5669 3356 NA NA
1546639200.0 103.0 249 282 621 NA NA NA 2097310 2097280 2097420 NA NA NA 3682 1385 4399 NA NA NA 3551 1749 5559 NA NA NA
1546639200.0 1030.0 NA 481 167 0 0 NA NA 2097370 2097250 0 0 NA NA 43891 463 111 119 NA NA 12616 462 165 455 NA
1546639200.0 1040.0 NA 686 130 0 NA NA NA 2097440 2097230 0 NA NA NA 63244 267 317 NA NA NA 17987 315 453 NA NA
1546639200.0 1040.1 NA 218 121 0 NA NA NA 2097280 2097230 0 NA NA NA 1193 391 471 NA NA NA 1170 594 542 NA NA
1546639200.0 10424.0 NA 377 769 0 NA NA NA 2097330 2097460 0 NA NA NA 3160 5351 3706 NA NA NA 3350 5219 4224 NA NA
1546639200.0 105.0 252 291 117 NA NA NA 2097340 2097280 2097240 NA NA NA 4950 1633 231 NA NA NA 2290 1183 400 NA NA NA
1546639200.0 106.0 222 0 0 NA NA NA 2097260 0 0 NA NA NA 2161 602 2412 NA NA NA 2211 468 2555 NA NA NA
1546639200.0 107.0 264 303 636 NA NA NA 2097350 2097280 2097430 NA NA NA 5870 1552 3434 NA NA NA 2342 1131 3235 NA NA NA
1546639200.0 108.0 277 309 646 NA NA NA 2097350 2097280 2097440 NA NA NA 8189 1480 4430 NA NA NA 3311 1068 4199 NA NA NA
1546639200.0 10801.0 NA 413 552 0 282 434 NA 2097400 2097460 0 2097260 2097370 NA 10895 6648 7643 1831 2083 NA 9583 7903 8034 1927 2300
1546639200.0 10802.0 NA 372 811 0 280 406 NA 2097400 2097460 0 2097260 2097350 NA 13963 5173 7544 1871 2202 NA 13692 4457 7664 2011 2269
1546639200.0 10803.0 NA 381 688 0 284 408 NA 2097400 2097460 0 2097260 2097350 NA 14480 7519 8397 2206 2438 NA 13718 8366 8704 2179 2734
1546639200.0 10805.0 NA 374 NA NA NA NA NA 2097400 NA NA NA NA NA 9645 NA NA NA NA NA 8129 NA NA NA NA
1546639200.0 10806.0 NA 702 732 0 268 388 NA 2097410 2097460 0 2097260 2097330 NA 10661 6456 8801 2361 2097 NA 6814 6823 9015 2025 2378
1546639200.0 10808.0 NA 717 815 0 293 422 NA 2097400 2097460 0 2097270 2097360 NA 6194 5635 6808 1527 1488 NA 14052 4989 7054 1763 1696
1546639200.0 10809.0 NA 738 740 0 305 414 NA 2097400 2097460 0 2097270 2097350 NA 7829 7212 7982 2419 1970 NA 5717 6762 8186 2401 1995
1546639200.0 10824.0 NA 686 851 0 309 418 NA 2097400 2097470 0 2097280 2097350 NA 12238 5508 7351 1599 1850 NA 7982 4159 7575 1608 1874
1546639200.0 10824.1 NA 490 559 0 NA NA NA 2097400 2097340 0 NA NA NA 12709 2632 779 NA NA NA 9257 2339 854 NA NA
1546639200.0 10824.5 NA 664 374 0 NA NA NA 2097400 2097300 0 NA NA NA 12856 1507 335 NA NA NA 8154 1746 439 NA NA
1546639200.0 10824.6 NA 474 531 0 309 408 NA 2097400 2097470 0 2097280 2097350 NA 9235 8202 7555 1969 1841 NA 7830 10797 8321 1986 1885
1546639200.0 10825.0 NA 570 807 0 284 411 NA 2097400 2097460 0 2097260 2097350 NA 7980 5539 6820 1561 1797 NA 7486 4892 6960 1563 1873
1546639200.0 10826.0 NA 619 658 0 288 420 NA 2097410 2097480 0 2097270 2097350 NA 9439 8528 7152 1496 1876 NA 6967 7821 7311 1466 2045
1546639200.0 10842.0 NA 485 516 0 274 416 NA 2097400 2097460 0 2097280 2097350 NA 9655 6614 7728 2061 1919 NA 9096 8570 8786 3187 1979
1546639200.0 10871.0 NA 755 868 0 302 410 NA 2097400 2097470 0 2097280 2097350 NA 14999 8111 7355 3913 1711 NA 22419 7272 10499 5197 3076
1546639200.0 109.0 264 310 657 NA NA NA 2097350 2097280 2097440 NA NA NA 5829 1170 3356 NA NA NA 2506 930 2596 NA NA NA
1546639200.0 11.0 NA 317 596 0 223 NA NA 2097300 2097440 0 2097260 NA NA 4633 3637 1403 592 NA NA 1693 2557 1623 566 NA
1546639200.0 110.0 251 298 620 NA NA NA 2097280 2097280 2097430 NA NA NA 2626 1543 3175 NA NA NA 1246 1233 3062 NA NA NA
1546639200.0 1102.0 NA 342 351 406 220 NA NA 2097310 2097470 2097340 2097240 NA NA 7173 25266 6520 565 NA NA 2732 35705 2820 427 NA
1546639200.0 11024.0 NA 617 1208 0 421 NA NA 2097500 2097600 0 2097350 NA NA 29770 21920 7011 1669 NA NA 37953 8808 7152 1725 NA
1546639200.0 11024.2 NA 719 1201 0 422 NA NA 2097500 2097610 0 2097350 NA NA 23630 22251 8017 1888 NA NA 16197 9019 9026 1964 NA
