Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1547244000.0 1.0 252 292 493 NA NA NA NA 2097340 2097290 2097370 NA NA NA NA 3332 1170 1596 NA NA NA NA 1730 985 1689 NA NA NA NA
1547244000.0 10.0 NA 352 680 0 NA NA NA NA 2097310 2097470 0 NA NA NA NA 8004 13079 1233 NA NA NA NA 3273 5906 1323 NA NA NA
1547244000.0 1000.0 NA 603 411 0 213 NA NA NA 2097430 2097350 0 2097250 NA NA NA 7584 2608 2085 653 NA NA NA 3547 2352 2185 862 NA NA
1547244000.0 10001.0 NA 393 708 0 238 NA NA NA 2097330 2097460 0 2097260 NA NA NA 2092 4392 3384 878 NA NA NA 1510 5317 3568 810 NA NA
1547244000.0 10002.0 NA 390 756 0 224 NA NA NA 2097330 2097460 0 2097260 NA NA NA 3084 5008 4536 989 NA NA NA 1615 5543 4916 13219 NA NA
1547244000.0 10003.0 NA 394 762 0 238 NA NA NA 2097330 2097460 0 2097260 NA NA NA 3111 4360 3702 564 NA NA NA 1884 3766 3811 710 NA NA
1547244000.0 10004.0 NA 295 766 0 238 NA NA NA 2097330 2097460 0 2097270 NA NA NA 3023 3086 3062 482 NA NA NA 3181 2876 3167 571 NA NA
1547244000.0 10005.0 NA 389 771 0 238 NA NA NA 2097330 2097460 0 2097270 NA NA NA 2688 3517 3444 711 NA NA NA 3227 3287 3894 645 NA NA
1547244000.0 10006.0 NA 306 717 0 237 NA NA NA 2097330 2097460 0 2097260 NA NA NA 4187 4195 3925 745 NA NA NA 3109 4877 4342 833 NA NA
1547244000.0 10007.0 NA 395 758 0 226 NA NA NA 2097330 2097460 0 2097260 NA NA NA 3229 4754 3749 770 NA NA NA 2510 4830 3914 830 NA NA
1547244000.0 10008.0 NA 418 773 0 238 NA NA NA 2097330 2097460 0 2097260 NA NA NA 2050 3602 3015 830 NA NA NA 1088 3925 3116 796 NA NA
1547244000.0 10009.0 NA 420 750 0 238 NA NA NA 2097330 2097460 0 2097270 NA NA NA 3825 4360 3691 525 NA NA NA 3100 4512 3843 638 NA NA
1547244000.0 1001.0 NA 567 NA NA NA NA NA NA 2097410 NA NA NA NA NA NA 6176 NA NA NA NA NA NA 2962 NA NA NA NA NA
1547244000.0 1001.2 NA 720 364 0 NA NA NA NA 2097450 2097320 0 NA NA NA NA 59308 3584 312 NA NA NA NA 18146 2522 656 NA NA NA
1547244000.0 10023.0 NA 394 739 0 238 NA NA NA 2097330 2097460 0 2097270 NA NA NA 2125 2917 2873 649 NA NA NA 1299 2815 2951 609 NA NA
1547244000.0 10024.0 NA 389 788 0 241 NA NA NA 2097330 2097460 0 2097270 NA NA NA 2472 4775 3547 465 NA NA NA 1267 13483 3999 605 NA NA
1547244000.0 10024.1 NA 419 521 0 NA NA NA NA 2097330 2097340 0 NA NA NA NA 1946 1580 561 NA NA NA NA 962 1384 616 NA NA NA
1547244000.0 10024.2 NA 390 784 0 NA NA NA NA 2097330 2097460 0 NA NA NA NA 3045 6558 3411 NA NA NA NA 1798 5861 3537 NA NA NA
1547244000.0 10024.3 NA 396 526 0 NA NA NA NA 2097330 2097340 0 NA NA NA NA 3373 1532 498 NA NA NA NA 2136 1322 574 NA NA NA
1547244000.0 10024.4 NA 389 757 0 NA NA NA NA 2097330 2097460 0 NA NA NA NA 3380 5500 3376 NA NA NA NA 2634 4679 3632 NA NA NA
1547244000.0 10024.5 NA 402 302 0 NA NA NA NA 2097330 2097290 0 NA NA NA NA 1944 643 209 NA NA NA NA 912 743 650 NA NA NA
1547244000.0 10025.0 NA 392 729 0 239 NA NA NA 2097330 2097460 0 2097260 NA NA NA 2189 3964 3188 986 NA NA NA 1479 4778 3280 848 NA NA
1547244000.0 10026.0 NA 384 844 0 244 NA NA NA 2097340 2097480 0 2097270 NA NA NA 2909 6915 3438 542 NA NA NA 1731 4635 3549 654 NA NA
1547244000.0 1004.0 NA 483 NA NA NA NA NA NA 2097390 NA NA NA NA NA NA 3089 NA NA NA NA NA NA 2455 NA NA NA NA NA
1547244000.0 10042.0 NA 406 757 0 236 NA NA NA 2097330 2097460 0 2097260 NA NA NA 3037 4424 3495 574 NA NA NA 1868 4231 3685 752 NA NA
1547244000.0 10059.0 NA 405 794 0 242 NA NA NA 2097330 2097480 0 2097270 NA NA NA 3449 9407 3421 683 NA NA NA 2035 5189 3513 637 NA NA
1547244000.0 10071.0 NA 405 711 0 237 NA NA NA 2097340 2097460 0 2097260 NA NA NA 3749 6400 3301 560 NA NA NA 2186 6874 3438 693 NA NA
1547244000.0 101.0 319 NA NA NA NA NA NA 2097320 NA NA NA NA NA NA 2876 NA NA NA NA NA NA 3126 NA NA NA NA NA NA
1547244000.0 1010.0 NA 121 150 0 NA NA NA NA 2097240 2097250 0 NA NA NA NA 183 341 254 NA NA NA NA 267 451 301 NA NA NA
1547244000.0 102.0 319 NA NA NA NA NA NA 2097320 NA NA NA NA NA NA 2503 NA NA NA NA NA NA 2739 NA NA NA NA NA NA
1547244000.0 1020.0 NA 195 109 0 200 NA NA NA 2097270 2097230 0 2097270 NA NA NA 416 156 105 422 NA NA NA 547 703 269 521 NA NA
1547244000.0 10224.0 NA 609 1051 0 NA NA NA NA 2097390 2097570 0 NA NA NA NA 7249 13528 3451 NA NA NA NA 2986 5917 3543 NA NA NA
1547244000.0 10225.0 NA 605 1033 0 NA NA NA NA 2097380 2097560 0 NA NA NA NA 8159 11659 3376 NA NA NA NA 3753 5343 3518 NA NA NA
1547244000.0 103.0 261 295 631 NA NA NA NA 2097330 2097280 2097430 NA NA NA NA 3599 1798 3602 NA NA NA NA 2078 2411 3544 NA NA NA NA
1547244000.0 1030.0 NA 480 168 0 0 NA NA NA 2097370 2097250 0 0 NA NA NA 42872 376 109 103 NA NA NA 12438 341 191 323 NA NA
1547244000.0 1040.0 NA 701 130 0 NA NA NA NA 2097440 2097230 0 NA NA NA NA 81214 304 415 NA NA NA NA 22987 347 447 NA NA NA
1547244000.0 1040.1 NA 219 120 0 NA NA NA NA 2097280 2097240 0 NA NA NA NA 1273 496 593 NA NA NA NA 1386 570 654 NA NA NA
1547244000.0 10424.0 NA 391 779 0 NA NA NA NA 2097330 2097460 0 NA NA NA NA 3365 4182 3056 NA NA NA NA 2963 3209 3155 NA NA NA
1547244000.0 105.0 259 312 110 NA NA NA NA 2097340 2097280 2097240 NA NA NA NA 3247 986 172 NA NA NA NA 1393 650 585 NA NA NA NA
1547244000.0 106.0 224 0 0 NA NA NA NA 2097260 0 0 NA NA NA NA 1288 355 1763 NA NA NA NA 817 294 1895 NA NA NA NA
1547244000.0 107.0 271 298 622 NA NA NA NA 2097350 2097280 2097430 NA NA NA NA 6034 1640 3792 NA NA NA NA 2424 2134 4045 NA NA NA NA
1547244000.0 108.0 272 320 652 NA NA NA NA 2097350 2097280 2097440 NA NA NA NA 9533 1469 4361 NA NA NA NA 4606 983 3312 NA NA NA NA
1547244000.0 10801.0 NA 502 700 0 282 442 NA NA 2097400 2097460 0 2097260 2097370 NA NA 7180 4997 6908 1514 1625 NA NA 6693 5784 7331 1337 1658 NA
1547244000.0 10802.0 NA 449 NA NA NA NA NA NA 2097400 NA NA NA NA NA NA 7784 NA NA NA NA NA NA 6993 NA NA NA NA NA
1547244000.0 10803.0 NA 410 694 0 283 411 NA NA 2097400 2097460 0 2097260 2097350 NA NA 13385 7281 8265 1923 2210 NA NA 11332 7168 8532 1938 2333 NA
1547244000.0 10804.0 NA 422 NA NA NA NA NA NA 2097410 NA NA NA NA NA NA 8302 NA NA NA NA NA NA 6977 NA NA NA NA NA
1547244000.0 10805.0 NA 465 NA NA NA NA NA NA 2097400 NA NA NA NA NA NA 16848 NA NA NA NA NA NA 41243 NA NA NA NA NA
1547244000.0 10806.0 NA 707 NA NA NA NA NA NA 2097410 NA NA NA NA NA NA 6892 NA NA NA NA NA NA 5391 NA NA NA NA NA
1547244000.0 10807.0 NA 685 835 0 307 243 NA NA 2097410 2097460 0 2097280 2097340 NA NA 9134 3661 5569 1514 1683 NA NA 6628 3077 5645 1510 2592 NA
1547244000.0 10808.0 NA 725 NA NA NA NA NA NA 2097400 NA NA NA NA NA NA 6863 NA NA NA NA NA NA 5381 NA NA NA NA NA
1547244000.0 10809.0 NA 735 821 0 294 406 NA NA 2097400 2097460 0 2097280 2097350 NA NA 7635 5481 7285 1685 1608 NA NA 9211 4716 7732 1665 1574 NA
1547244000.0 10823.0 NA 712 798 0 282 408 NA NA 2097410 2097460 0 2097260 2097360 NA NA 5890 3549 5793 1206 1703 NA NA 4493 3175 6430 1201 1709 NA
1547244000.0 10824.0 NA 713 833 0 302 418 NA NA 2097400 2097460 0 2097280 2097350 NA NA 8259 5737 6953 1444 1560 NA NA 6877 4145 7153 1358 1518 NA
1547244000.0 10824.1 NA 594 557 0 NA NA NA NA 2097400 2097340 0 NA NA NA NA 10263 1980 652 NA NA NA NA 6604 1820 706 NA NA NA
1547244000.0 10824.5 NA 661 363 0 NA NA NA NA 2097400 2097300 0 NA NA NA NA 8144 1520 307 NA NA NA NA 5915 1753 413 NA NA NA
1547244000.0 10824.6 NA 649 628 0 309 414 NA NA 2097400 2097470 0 2097280 2097350 NA NA 9552 7157 7496 1915 2188 NA NA 8122 6744 8046 2129 2263 NA
1547244000.0 10825.0 NA 705 817 0 281 412 NA NA 2097400 2097460 0 2097260 2097350 NA NA 11799 6355 7949 1650 1547 NA NA 26430 5638 8648 1854 1511 NA
1547244000.0 10826.0 NA 539 854 0 310 413 NA NA 2097410 2097480 0 2097280 2097350 NA NA 18973 7485 7005 1909 1701 NA NA 44469 8178 7334 2265 1794 NA
1547244000.0 10842.0 NA 495 665 0 298 410 NA NA 2097400 2097460 0 2097280 2097350 NA NA 11239 6469 7802 2248 2375 NA NA 9073 6022 8050 2252 2461 NA
1547244000.0 10859.0 NA 754 886 0 311 421 NA NA 2097410 2097480 0 2097280 2097350 NA NA 7020 7994 6122 1248 1281 NA NA 5189 4245 7068 1233 1258 NA
1547244000.0 10871.0 NA 736 851 0 309 420 NA NA 2097410 2097480 0 2097280 2097350 NA NA 10688 5087 5733 1297 1303 NA NA 6357 3718 5841 1252 1306 NA
1547244000.0 109.0 267 291 647 NA NA NA NA 2097350 2097280 2097440 NA NA NA NA 5873 1245 3430 NA NA NA NA 2770 1118 3124 NA NA NA NA
1547244000.0 11.0 NA 331 588 0 227 NA NA NA 2097300 2097440 0 2097260 NA NA NA 5658 4028 1525 463 NA NA NA 2213 2949 1659 597 NA NA
1547244000.0 110.0 251 297 620 NA NA NA NA 2097280 2097280 2097430 NA NA NA NA 1844 1092 2398 NA NA NA NA 918 1422 3256 NA NA NA NA
1547244000.0 1102.0 NA 347 403 404 229 NA NA NA 2097310 2097470 2097340 2097250 NA NA NA 5879 23434 5400 485 NA NA NA 2234 31953 2168 408 NA NA
1547244000.0 11024.0 NA 1042 1205 0 423 NA NA NA 2097490 2097600 0 2097350 NA NA NA 23695 27878 6942 1584 NA NA NA 12918 14088 7120 1644 NA NA
1547244000.0 11024.2 NA 820 1226 0 411 NA NA NA 2097490 2097610 0 2097350 NA NA NA 27019 24042 8134 2015 NA NA NA 15659 9940 9153 2110 NA NA
1547244000.0 11024.3 NA 1005 1224 0 413 NA NA NA 2097500 2097600 0 2097350 NA NA NA 14784 19493 6028 1311 NA NA NA 7699 7623 6091 1285 NA NA
1547244000.0 11024.6 NA 860 1216 0 412 NA NA NA 2097500 2097610 0 2097350 NA NA NA 16682 20564 6555 1831 NA NA NA 8883 8090 6662 2080 NA NA
1547244000.0 11025.0 NA 973 1172 0 421 NA NA NA 2097490 2097580 0 2097350 NA NA NA 16693 15504 6681 1783 NA NA NA 9233 6751 6844 1801 NA NA
1547244000.0 111.0 247 296 624 NA NA NA NA 2097340 2097280 2097430 NA NA NA NA 4940 1136 3028 NA NA NA NA 3157 965 2892 NA NA NA NA
1547244000.0 112.0 266 303 617 NA NA NA NA 2097350 2097280 2097430 NA NA NA NA 4324 1136 2476 NA NA NA NA 2099 807 2605 NA NA NA NA
1547244000.0 11224.0 NA 575 741 0 NA NA NA NA 2097390 2097470 0 NA NA NA NA 8798 8045 7753 NA NA NA NA 8343 7603 7978 NA NA NA
1547244000.0 11224.6 NA 590 844 0 NA NA NA NA 2097390 2097480 0 NA NA NA NA 10053 6362 7201 NA NA NA NA 7351 4830 7615 NA NA NA
1547244000.0 113.0 256 318 630 NA NA NA NA 2097360 2097280 2097430 NA NA NA NA 5618 1315 3255 NA NA NA NA 2758 923 3097 NA NA NA NA
1547244000.0 114.0 269 300 626 NA NA NA NA 2097360 2097280 2097430 NA NA NA NA 24741 1313 3623 NA NA NA NA 31539 1661 3720 NA NA NA NA
1547244000.0 115.0 266 318 644 NA NA NA NA 2097350 2097280 2097430 NA NA NA NA 5734 1440 3284 NA NA NA NA 2304 1102 3028 NA NA NA NA
1547244000.0 116.0 276 309 646 NA NA NA NA 2097360 2097280 2097440 NA NA NA NA 9524 1299 3837 NA NA NA NA 4858 2068 4282 NA NA NA NA
1547244000.0 11623.0 266 486 776 0 237 NA NA 2097260 2097320 2097460 0 2097270 NA NA 3057 2174 3400 3513 625 NA NA 1507 1527 3493 4285 702 NA NA
1547244000.0 11624.0 277 NA NA NA NA NA NA 2097270 NA NA NA NA NA NA 5608 NA NA NA NA NA NA 2249 NA NA NA NA NA NA
1547244000.0 11625.0 274 472 722 0 238 NA NA 2097270 2097330 2097460 0 2097260 NA NA 4346 2348 3758 3198 485 NA NA 2019 1713 3880 3340 567 NA NA
1547244000.0 11626.0 284 484 861 0 240 NA NA 2097270 2097330 2097480 0 2097270 NA NA 10720 2855 5841 3346 718 NA NA 3655 1586 3725 3707 676 NA NA
1547244000.0 11642.0 264 NA NA NA NA NA NA 2097260 NA NA NA NA NA NA 5861 NA NA NA NA NA NA 2781 NA NA NA NA NA NA
1547244000.0 117.0 274 309 626 NA NA NA NA 2097360 2097280 2097430 NA NA NA NA 6082 1311 3219 NA NA NA NA 3069 1047 3091 NA NA NA NA
1547244000.0 118.0 255 313 667 NA NA NA NA 2097360 2097280 2097440 NA NA NA NA 8830 1345 3843 NA NA NA NA 3878 980 2885 NA NA NA NA
1547244000.0 119.0 266 317 604 NA NA NA NA 2097350 2097280 2097430 NA NA NA NA 4862 1192 2882 NA NA NA NA 2399 868 3097 NA NA NA NA
1547244000.0 12.0 NA 353 683 0 NA NA NA NA 2097310 2097470 0 NA NA NA NA 8340 13269 1480 NA NA NA NA 3443 6014 1586 NA NA NA
1547244000.0 120.0 247 309 615 NA NA NA NA 2097280 2097280 2097430 NA NA NA NA 2326 1040 2306 NA NA NA NA 1604 805 2333 NA NA NA NA
1547244000.0 12024.0 267 483 837 0 NA NA NA 2097270 2097320 2097470 0 NA NA NA 8908 2854 4266 3211 NA NA NA 3307 1529 3424 3310 NA NA NA
1547244000.0 121.0 290 313 651 NA NA NA NA 2097360 2097280 2097440 NA NA NA NA 8939 1335 3751 NA NA NA NA 3383 1023 2998 NA NA NA NA
1547244000.0 122.0 224 0 0 NA NA NA NA 2097260 0 0 NA NA NA NA 1707 350 1890 NA NA NA NA 1079 318 2317 NA NA NA NA
1547244000.0 123.1 595 NA NA NA NA NA NA 2097440 NA NA NA NA NA NA 5611 NA NA NA NA NA NA 3148 NA NA NA NA NA NA
1547244000.0 123.2 619 NA NA NA NA NA NA 2097450 NA NA NA NA NA NA 6503 NA NA NA NA NA NA 3228 NA NA NA NA NA NA
1547244000.0 123.3 544 NA NA NA NA NA NA 2097410 NA NA NA NA NA NA 5283 NA NA NA NA NA NA 2927 NA NA NA NA NA NA
1547244000.0 124.1 592 NA NA NA NA NA NA 2097410 NA NA NA NA NA NA 3007 NA NA NA NA NA NA 2146 NA NA NA NA NA NA
1547244000.0 124.2 593 NA NA NA NA NA NA 2097460 NA NA NA NA NA NA 3170 NA NA NA NA NA NA 1852 NA NA NA NA NA NA
1547244000.0 124.4 570 NA NA NA NA NA NA 2097410 NA NA NA NA NA NA 5463 NA NA NA NA NA NA 6420 NA NA NA NA NA NA
1547244000.0 124.5 593 NA NA NA NA NA NA 2097420 NA NA NA NA NA NA 2747 NA NA NA NA NA NA 1953 NA NA NA NA NA NA
1547244000.0 124.6 528 NA NA NA NA NA NA 2097420 NA NA NA NA NA NA 2723 NA NA NA NA NA NA 1612 NA NA NA NA NA NA
1547244000.0 125.0 274 307 620 NA NA NA NA 2097360 2097280 2097430 NA NA NA NA 5770 1310 3222 NA NA NA NA 3270 1010 3209 NA NA NA NA
1547244000.0 126.0 266 309 623 NA NA NA NA 2097290 2097280 2097440 NA NA NA NA 4209 1526 3406 NA NA NA NA 1740 1000 3644 NA NA NA NA
1547244000.0 127.0 254 300 616 NA NA NA NA 2097280 2097280 2097430 NA NA NA NA 2295 1041 2304 NA NA NA NA 1122 774 2400 NA NA NA NA
1547244000.0 128.0 247 299 477 NA NA NA NA 2097280 2097280 2097430 NA NA NA NA 2120 1277 2855 NA NA NA NA 1199 921 3741 NA NA NA NA
1547244000.0 129.0 251 299 597 NA NA NA NA 2097290 2097280 2097440 NA NA NA NA 1821 1074 2454 NA NA NA NA 982 764 2941 NA NA NA NA
1547244000.0 13.0 NA 322 646 0 NA NA NA NA 2097290 2097440 0 NA NA NA NA 1712 7326 1298 NA NA NA NA 2337 5361 1415 NA NA NA
1547244000.0 130.0 260 311 618 NA NA NA NA 2097280 2097280 2097430 NA NA NA NA 3006 1522 3520 NA NA NA NA 1569 976 3509 NA NA NA NA
