Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1546984800.0 1.0 94 108 218 NA NA NA NA NA NA 261 676 464 NA NA NA NA NA NA 7359 564 829 NA NA NA NA NA NA 8440 433 1185 NA NA NA NA NA NA
1546984800.0 10.0 NA 145 306 0 NA NA NA NA NA NA 692 625 0 NA NA NA NA NA NA 3266 4239 734 NA NA NA NA NA NA 1831 4850 825 NA NA NA NA NA
1546984800.0 1000.0 NA 316 164 0 61 NA NA NA NA NA 590 378 0 163 NA NA NA NA NA 3688 1558 882 440 NA NA NA NA NA 2214 1415 2235 757 NA NA NA NA
1546984800.0 10001.0 NA 166 365 0 88 NA NA NA NA NA 700 704 0 208 NA NA NA NA NA 650 1438 947 343 NA NA NA NA NA 1254 1701 1156 350 NA NA NA NA
1546984800.0 10002.0 NA 172 361 0 76 NA NA NA NA NA 702 695 0 201 NA NA NA NA NA 922 2196 1067 482 NA NA NA NA NA 1251 2240 1173 611 NA NA NA NA
1546984800.0 10003.0 NA 174 367 0 75 NA NA NA NA NA 699 708 0 210 NA NA NA NA NA 865 1946 1307 309 NA NA NA NA NA 896 2057 1460 716 NA NA NA NA
1546984800.0 10004.0 NA 161 350 0 87 NA NA NA NA NA 657 683 0 203 NA NA NA NA NA 923 2384 1279 279 NA NA NA NA NA 1540 4032 1417 482 NA NA NA NA
1546984800.0 10005.0 NA 171 351 0 76 NA NA NA NA NA 667 698 0 203 NA NA NA NA NA 889 2292 1223 986 NA NA NA NA NA 887 3664 1296 1169 NA NA NA NA
1546984800.0 10006.0 NA 161 347 0 73 NA NA NA NA NA 700 694 0 207 NA NA NA NA NA 998 2328 1313 337 NA NA NA NA NA 2288 3650 2343 526 NA NA NA NA
1546984800.0 10007.0 NA 165 357 0 76 NA NA NA NA NA 701 716 0 209 NA NA NA NA NA 1020 2413 1469 310 NA NA NA NA NA 2365 3176 2372 499 NA NA NA NA
1546984800.0 10008.0 NA 171 379 0 73 NA NA NA NA NA 702 689 0 210 NA NA NA NA NA 1013 1828 1337 339 NA NA NA NA NA 1384 1894 1637 538 NA NA NA NA
1546984800.0 10009.0 NA 173 355 0 77 NA NA NA NA NA 655 718 0 208 NA NA NA NA NA 941 2461 1534 449 NA NA NA NA NA 902 2977 2256 540 NA NA NA NA
1546984800.0 1001.0 NA 271 127 0 0 0 0 0 0 NA 553 258 0 0 0 0 0 0 NA 2274 688 80 61 103 205 107 207 NA 3250 653 113 91 138 237 273 253
1546984800.0 1001.2 NA 376 141 0 NA NA NA NA NA NA 772 283 0 NA NA NA NA NA NA 12489 1698 116 NA NA NA NA NA NA 8212 1326 191 NA NA NA NA NA
1546984800.0 1002.0 NA 314 86 NA NA NA NA NA NA NA 594 180 NA NA NA NA NA NA NA 3947 479 NA NA NA NA NA NA NA 3637 446 NA NA NA NA NA NA
1546984800.0 10023.0 NA 175 363 0 80 NA NA NA NA NA 699 721 0 206 NA NA NA NA NA 642 1495 909 457 NA NA NA NA NA 1016 1568 1399 527 NA NA NA NA
1546984800.0 10024.0 NA 175 383 0 77 NA NA NA NA NA 656 741 0 211 NA NA NA NA NA 1153 2396 1421 299 NA NA NA NA NA 2931 2356 1543 445 NA NA NA NA
1546984800.0 10024.1 NA 191 193 0 NA NA NA NA NA NA 701 455 0 NA NA NA NA NA NA 659 734 310 NA NA NA NA NA NA 460 807 379 NA NA NA NA NA
1546984800.0 10024.2 NA 186 402 0 NA NA NA NA NA NA 700 750 0 NA NA NA NA NA NA 681 1607 931 NA NA NA NA NA NA 730 2288 1314 NA NA NA NA NA
