Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1547334000.0 1002.0 NA 310 86 NA NA NA NA NA 614 185 NA NA NA NA NA 2760 387 NA NA NA NA NA 2402 289 NA NA NA NA
1547334000.0 10024.3 NA 179 180 0 NA NA NA NA 668 445 0 NA NA NA NA 936 824 331 NA NA NA NA 1082 1122 409 NA NA NA
1547334000.0 1004.0 NA 236 106 0 0 0 0 NA 469 230 0 0 0 0 NA 962 380 68 113 280 298 NA 1176 576 112 156 432 415
1547334000.0 101.0 87 NA NA NA NA NA NA 256 NA NA NA NA NA NA 878 NA NA NA NA NA NA 1308 NA NA NA NA NA NA
1547334000.0 1010.0 NA 30 44 0 NA NA NA NA 153 170 0 NA NA NA NA 118 207 124 NA NA NA NA 427 386 172 NA NA NA
1547334000.0 102.0 90 NA NA NA NA NA NA 257 NA NA NA NA NA NA 775 NA NA NA NA NA NA 1032 NA NA NA NA NA NA
1547334000.0 1020.0 NA 81 34 0 75 NA NA NA 213 136 0 216 NA NA NA 267 98 74 247 NA NA NA 433 432 264 504 NA NA
1547334000.0 103.0 65 116 284 NA NA NA NA 203 643 579 NA NA NA NA 1106 615 1243 NA NA NA NA 1559 500 2140 NA NA NA NA
1547334000.0 1030.0 NA 187 58 0 0 NA NA NA 510 170 0 0 NA NA NA 7687 263 64 62 NA NA NA 6398 244 137 258 NA NA
1547334000.0 1040.0 NA 353 37 0 NA NA NA NA 716 140 0 NA NA NA NA 10076 185 124 NA NA NA NA 3861 389 246 NA NA NA
1547334000.0 1040.1 NA 72 27 0 NA NA NA NA 219 140 0 NA NA NA NA 451 129 127 NA NA NA NA 648 402 306 NA NA NA
1547334000.0 106.0 47 0 0 NA NA NA NA 177 0 0 NA NA NA NA 710 310 1049 NA NA NA NA 1207 293 1802 NA NA NA NA
1547334000.0 10801.0 NA 264 378 0 97 158 NA NA 827 747 0 221 328 NA NA 1723 1654 1673 407 684 NA NA 2709 2643 2140 587 885 NA
1547334000.0 10805.0 NA 277 400 0 97 168 NA NA 833 753 0 225 334 NA NA 1805 1567 1658 346 648 NA NA 1773 1525 1894 528 808 NA
1547334000.0 10807.0 NA 275 399 0 105 166 NA NA 771 747 0 230 341 NA NA 1970 1908 1926 480 770 NA NA 1932 2076 2037 753 985 NA
