Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547416800.0 101.0 89 NA NA NA NA 256 NA NA NA NA 1374 NA NA NA NA 1788 NA NA NA NA
1547416800.0 1010.0 NA 36 42 0 NA NA 154 170 0 NA NA 199 322 286 NA NA 745 422 675 NA
1547416800.0 102.0 97 NA NA NA NA 256 NA NA NA NA 1033 NA NA NA NA 1546 NA NA NA NA
1547416800.0 1020.0 NA 81 34 0 78 NA 216 136 0 216 NA 400 179 126 440 NA 808 725 391 619
1547416800.0 1040.1 NA 71 28 0 NA NA 220 141 0 NA NA 762 198 226 NA NA 1565 388 351 NA
1547416800.0 1307.0 NA 135 181 52 0 NA 693 413 166 0 NA 1023 1273 267 539 NA 1218 2432 698 1113
1547416800.0 1325.51 NA 164 0 NA NA NA 378 0 NA NA NA 2463 267 NA NA NA 3602 636 NA NA
1547416800.0 135.8 182 NA NA NA NA 360 NA NA NA NA 750 NA NA NA NA 1804 NA NA NA NA
1547416800.0 136.7801 NA 118 0 NA NA NA 263 0 NA NA NA 562 398 NA NA NA 751 558 NA NA
1547416800.0 136.7802 NA 81 0 NA NA NA 216 0 NA NA NA 589 259 NA NA NA 1582 585 NA NA
1547416800.0 136.7803 NA 117 0 NA NA NA 292 0 NA NA NA 1252 452 NA NA NA 1542 1005 NA NA
1547416800.0 136.7952 NA 188 0 NA NA NA 393 0 NA NA NA 5304 250 NA NA NA 4431 495 NA NA
1547416800.0 2017.2 318 0 131 NA NA 909 0 325 NA NA 2004 489 887 NA NA 2969 667 1298 NA NA
1547416800.0 2017.8 190 NA NA NA NA 388 NA NA NA NA 1155 NA NA NA NA 1169 NA NA NA NA
1547416800.0 250199.17 320 NA NA NA NA 713 NA NA NA NA 4827 NA NA NA NA 2692 NA NA NA NA
1547416800.0 5.7 286 0 NA NA NA 829 0 NA NA NA 2290 385 NA NA NA 2612 572 NA NA NA
1547416800.0 503.0 37 0 NA NA NA 156 0 NA NA NA 489 184 NA NA NA 920 309 NA NA NA
1547416800.0 504.0 40 0 NA NA NA 156 0 NA NA NA 329 258 NA NA NA 834 458 NA NA NA
1547416800.0 505.0 44 0 NA NA NA 157 0 NA NA NA 268 262 NA NA NA 410 690 NA NA NA
1547416800.0 506.0 42 0 NA NA NA 157 0 NA NA NA 291 220 NA NA NA 391 332 NA NA NA
1547416800.0 507.0 41 0 NA NA NA 156 0 NA NA NA 352 198 NA NA NA 420 388 NA NA NA
1547416800.0 508.0 39 0 NA NA NA 155 0 NA NA NA 235 278 NA NA NA 446 484 NA NA NA
1547416800.0 509.0 38 0 NA NA NA 153 0 NA NA NA 278 264 NA NA NA 432 655 NA NA NA
1547416800.0 510.0 39 0 NA NA NA 157 0 NA NA NA 603 180 NA NA NA 943 295 NA NA NA
1547416800.0 512.0 21 37 0 NA NA 116 161 0 NA NA 2671 384 247 NA NA 22519 500 523 NA NA
1547416800.0 513.0 20 45 0 NA NA 116 161 0 NA NA 542 147 112 NA NA 2606 411 406 NA NA
1547416800.0 514.0 22 41 0 NA NA 116 163 0 NA NA 512 283 222 NA NA 1404 446 340 NA NA
1547416800.0 515.0 21 39 0 NA NA 116 162 0 NA NA 2656 350 259 NA NA 22494 498 565 NA NA
1547416800.0 516.0 21 40 0 NA NA 116 161 0 NA NA 509 145 106 NA NA 1030 1693 545 NA NA
1547416800.0 517.0 21 41 0 NA NA 116 163 0 NA NA 1266 257 291 NA NA 1845 384 746 NA NA
1547416800.0 518.0 22 40 0 NA NA 116 162 0 NA NA 2598 372 257 NA NA 22519 520 544 NA NA
1547416800.0 519.0 20 46 0 NA NA 116 161 0 NA NA 525 135 111 NA NA 2662 389 496 NA NA
1547416800.0 520.0 21 46 0 NA NA 116 163 0 NA NA 1457 288 280 NA NA 2799 459 475 NA NA
1547416800.0 521.0 19 42 0 NA NA 116 163 0 NA NA 513 156 119 NA NA 1308 555 1246 NA NA
1547416800.0 522.0 22 41 0 NA NA 116 163 0 NA NA 2626 326 239 NA NA 22467 501 468 NA NA
1547416800.0 524.0 20 47 0 NA NA 116 163 0 NA NA 1447 287 181 NA NA 2695 483 320 NA NA
1547416800.0 525.0 21 42 0 NA NA 116 163 0 NA NA 542 159 122 NA NA 1737 480 194 NA NA
1547416800.0 526.0 21 40 0 NA NA 116 162 0 NA NA 2609 344 291 NA NA 22545 511 598 NA NA
1547416800.0 527.0 21 47 0 NA NA 116 163 0 NA NA 1433 324 268 NA NA 2696 480 685 NA NA
1547416800.0 528.0 22 47 0 NA NA 116 162 0 NA NA 502 162 102 NA NA 998 244 278 NA NA
1547416800.0 529.0 21 37 0 NA NA 116 161 0 NA NA 2614 368 270 NA NA 22548 528 559 NA NA
1547416800.0 530.0 21 50 0 NA NA 116 163 0 NA NA 1413 251 259 NA NA 2600 417 447 NA NA
1547416800.0 531.0 50 0 NA NA NA 264 0 NA NA NA 350 288 NA NA NA 715 789 NA NA NA
