Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1547157600.0 1.0 74 115 249 NA NA NA NA NA NA 208 607 404 NA NA NA NA NA NA 1213 600 922 NA NA NA NA NA NA 1676 759 994 NA NA NA NA NA NA
1547157600.0 10.0 NA 145 354 0 NA NA NA NA NA NA 613 496 0 NA NA NA NA NA NA 2270 3288 981 NA NA NA NA NA NA 1154 3283 1126 NA NA NA NA NA
1547157600.0 1000.0 NA 327 219 0 65 NA NA NA NA NA 491 318 0 116 NA NA NA NA NA 3226 1735 1106 395 NA NA NA NA NA 2216 1432 1336 448 NA NA NA NA
1547157600.0 10001.0 NA 166 395 0 91 NA NA NA NA NA 575 592 0 143 NA NA NA NA NA 706 1656 1296 300 NA NA NA NA NA 626 1641 1403 866 NA NA NA NA
1547157600.0 10002.0 NA 167 394 0 96 NA NA NA NA NA 622 587 0 157 NA NA NA NA NA 692 1651 1247 711 NA NA NA NA NA 705 2148 1310 753 NA NA NA NA
1547157600.0 10003.0 NA 185 394 0 90 NA NA NA NA NA 621 616 0 156 NA NA NA NA NA 586 1657 1206 494 NA NA NA NA NA 409 1829 1277 970 NA NA NA NA
1547157600.0 10004.0 NA 168 407 0 91 NA NA NA NA NA 620 594 0 142 NA NA NA NA NA 739 1904 1398 866 NA NA NA NA NA 1316 2161 1522 1181 NA NA NA NA
1547157600.0 10005.0 NA 167 398 0 85 NA NA NA NA NA 617 628 0 156 NA NA NA NA NA 674 1613 1213 385 NA NA NA NA NA 889 2097 1306 411 NA NA NA NA
1547157600.0 10006.0 NA 172 385 0 93 NA NA NA NA NA 618 593 0 148 NA NA NA NA NA 898 2008 1471 508 NA NA NA NA NA 1356 2676 1615 665 NA NA NA NA
1547157600.0 10007.0 NA 168 396 0 84 NA NA NA NA NA 619 581 0 142 NA NA NA NA NA 841 1930 1479 476 NA NA NA NA NA 1900 2263 1792 622 NA NA NA NA
1547157600.0 10008.0 NA 186 396 0 95 NA NA NA NA NA 577 609 0 153 NA NA NA NA NA 693 1683 1296 271 NA NA NA NA NA 624 1665 1384 368 NA NA NA NA
1547157600.0 10009.0 NA 179 401 0 84 NA NA NA NA NA 619 589 0 158 NA NA NA NA NA 1000 2152 1512 487 NA NA NA NA NA 1172 2629 1682 1102 NA NA NA NA
1547157600.0 1001.0 NA 281 137 0 0 0 0 0 0 NA 447 205 0 0 0 0 0 0 NA 2353 713 99 94 184 704 117 698 NA 1885 646 167 155 299 943 160 944
1547157600.0 1001.2 NA 385 153 0 NA NA NA NA NA NA 633 234 0 NA NA NA NA NA NA 13775 1836 114 NA NA NA NA NA NA 6026 1909 470 NA NA NA NA NA
1547157600.0 1002.0 NA 348 98 NA NA NA NA NA NA NA 495 165 NA NA NA NA NA NA NA 5047 808 NA NA NA NA NA NA NA 5215 733 NA NA NA NA NA NA
1547157600.0 10023.0 NA 173 383 0 87 NA NA NA NA NA 619 608 0 152 NA NA NA NA NA 687 1577 1293 273 NA NA NA NA NA 1024 1593 1379 358 NA NA NA NA
1547157600.0 10024.0 NA 181 410 0 98 NA NA NA NA NA 574 649 0 149 NA NA NA NA NA 1126 2471 1596 542 NA NA NA NA NA 1703 3205 1860 615 NA NA NA NA
1547157600.0 10024.1 NA 187 201 0 NA NA NA NA NA NA 622 348 0 NA NA NA NA NA NA 871 1002 797 NA NA NA NA NA NA 853 1016 888 NA NA NA NA NA
1547157600.0 10024.2 NA 181 403 0 NA NA NA NA NA NA 576 597 0 NA NA NA NA NA NA 866 2979 1621 NA NA NA NA NA NA 595 2854 2335 NA NA NA NA NA
