Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1546124400.0 1.0 93 117 211 NA NA NA NA NA NA 192 595 338 NA NA NA NA NA NA 1365 620 910 NA NA NA NA NA NA 1066 872 1214 NA NA NA NA NA NA
1546124400.0 10.0 NA 135 311 0 NA NA NA NA NA NA 605 458 0 NA NA NA NA NA NA 2503 3479 639 NA NA NA NA NA NA 1784 2394 762 NA NA NA NA NA
1546124400.0 1000.0 NA 297 180 0 62 NA NA NA NA NA 476 284 0 108 NA NA NA NA NA 2783 1264 698 350 NA NA NA NA NA 2067 1244 829 634 NA NA NA NA
1546124400.0 10001.0 NA 170 359 0 86 NA NA NA NA NA 610 550 0 132 NA NA NA NA NA 775 1774 1109 366 NA NA NA NA NA 609 2227 1207 645 NA NA NA NA
1546124400.0 10002.0 NA 186 363 0 86 NA NA NA NA NA 609 561 0 130 NA NA NA NA NA 691 1658 976 378 NA NA NA NA NA 604 2054 1143 645 NA NA NA NA
1546124400.0 10003.0 NA 170 357 0 78 NA NA NA NA NA 566 542 0 133 NA NA NA NA NA 978 2489 1534 432 NA NA NA NA NA 1507 3899 2943 697 NA NA NA NA
1546124400.0 10004.0 NA 161 356 0 72 NA NA NA NA NA 611 571 0 132 NA NA NA NA NA 996 2436 1051 417 NA NA NA NA NA 1499 4101 1147 1467 NA NA NA NA
1546124400.0 10005.0 NA 174 359 0 74 NA NA NA NA NA 611 573 0 133 NA NA NA NA NA 784 1629 1024 450 NA NA NA NA NA 1278 2061 1538 873 NA NA NA NA
1546124400.0 10006.0 NA 171 354 0 75 NA NA NA NA NA 565 560 0 133 NA NA NA NA NA 1069 1939 1033 418 NA NA NA NA NA 1207 2450 1148 637 NA NA NA NA
1546124400.0 10007.0 NA 164 365 0 83 NA NA NA NA NA 565 557 0 131 NA NA NA NA NA 987 2022 1170 386 NA NA NA NA NA 741 3021 1319 737 NA NA NA NA
1546124400.0 10008.0 NA 171 340 0 82 NA NA NA NA NA 576 542 0 131 NA NA NA NA NA 1126 2707 1819 616 NA NA NA NA NA 1554 5070 2311 1163 NA NA NA NA
1546124400.0 10009.0 NA 172 350 0 82 NA NA NA NA NA 619 550 0 132 NA NA NA NA NA 775 1913 1017 312 NA NA NA NA NA 623 3238 1119 666 NA NA NA NA
