Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1547334000.0 1004.0 NA 241 106 0 0 0 0 NA 354 161 0 0 0 0 NA 875 323 73 100 215 303 NA 2036 398 338 204 264 523
1547334000.0 101.0 90 NA NA NA NA NA NA 161 NA NA NA NA NA NA 851 NA NA NA NA NA NA 1221 NA NA NA NA NA NA
1547334000.0 1010.0 NA 35 39 0 NA NA NA NA 88 99 0 NA NA NA NA 103 179 125 NA NA NA NA 294 343 227 NA NA NA
1547334000.0 102.0 101 NA NA NA NA NA NA 161 NA NA NA NA NA NA 715 NA NA NA NA NA NA 992 NA NA NA NA NA NA
1547334000.0 1020.0 NA 81 28 0 77 NA NA NA 144 70 0 144 NA NA NA 224 96 70 239 NA NA NA 342 697 255 489 NA NA
1547334000.0 1030.0 NA 184 51 0 0 NA NA NA 397 102 0 0 NA NA NA 7354 260 82 88 NA NA NA 2940 314 318 583 NA NA
1547334000.0 1040.1 NA 72 32 0 NA NA NA NA 132 76 0 NA NA NA NA 390 122 120 NA NA NA NA 732 451 447 NA NA NA
1547334000.0 105.0 90 104 39 NA NA NA NA 195 551 76 NA NA NA NA 1560 526 94 NA NA NA NA 1510 424 195 NA NA NA NA
1547334000.0 10802.0 NA 274 389 0 97 170 NA NA 660 611 0 147 253 NA NA 1857 1689 1728 376 716 NA NA 1969 2443 2035 462 826 NA
1547334000.0 10824.5 NA 314 166 0 NA NA NA NA 702 245 0 NA NA NA NA 1943 593 137 NA NA NA NA 1844 1704 364 NA NA NA
1547334000.0 11626.0 77 185 396 0 83 NA NA 138 605 583 0 133 NA NA 5024 820 1955 930 338 NA NA 2459 704 1724 1162 664 NA NA
1547334000.0 124.1 291 NA NA NA NA NA NA 688 NA NA NA NA NA NA 985 NA NA NA NA NA NA 960 NA NA NA NA NA NA
1547334000.0 124.4 296 NA NA NA NA NA NA 687 NA NA NA NA NA NA 939 NA NA NA NA NA NA 915 NA NA NA NA NA NA
1547334000.0 1325.8 NA 192 0 NA NA NA NA NA 313 0 NA NA NA NA NA 4513 164 NA NA NA NA NA 5228 505 NA NA NA NA
1547334000.0 134.801 NA 49 339 0 NA NA NA NA 104 500 0 NA NA NA NA 282 4823 792 NA NA NA NA 829 4050 1068 NA NA NA
1547334000.0 135.8 149 NA NA NA NA NA NA 253 NA NA NA NA NA NA 470 NA NA NA NA NA NA 1082 NA NA NA NA NA NA
1547334000.0 136.733 NA 180 77 0 NA NA NA NA 293 130 0 NA NA NA NA 944 219 279 NA NA NA NA 1574 391 499 NA NA NA
1547334000.0 136.7801 NA 116 0 NA NA NA NA NA 178 0 NA NA NA NA NA 389 224 NA NA NA NA NA 723 329 NA NA NA NA
1547334000.0 136.7802 NA 92 0 NA NA NA NA NA 149 0 NA NA NA NA NA 259 145 NA NA NA NA NA 396 316 NA NA NA NA
1547334000.0 136.7952 NA 190 0 NA NA NA NA NA 288 0 NA NA NA NA NA 2712 117 NA NA NA NA NA 1600 210 NA NA NA NA
1547334000.0 136.8311 NA 184 0 NA NA NA NA NA 309 0 NA NA NA NA NA 2020 135 NA NA NA NA NA 2544 249 NA NA NA NA
1547334000.0 136.8521 NA 192 0 NA NA NA NA NA 302 0 NA NA NA NA NA 2149 125 NA NA NA NA NA 1724 233 NA NA NA NA
1547334000.0 1363.17 81 171 374 0 NA NA NA 154 554 562 0 NA NA NA 5885 746 1621 910 NA NA NA 4954 539 2483 1026 NA NA NA
1547334000.0 2017.8 185 NA NA NA NA NA NA 299 NA NA NA NA NA NA 491 NA NA NA NA NA NA 848 NA NA NA NA NA NA
1547334000.0 30.0 NA 138 297 0 NA NA NA NA 605 448 0 NA NA NA NA 2424 3279 756 NA NA NA NA 1428 3521 945 NA NA NA
1547334000.0 4.22 NA 157 73 72 0 NA NA NA 279 128 146 0 NA NA NA 904 288 347 236 NA NA NA 2418 427 831 449 NA NA
1547334000.0 4.27 NA 70 314 0 NA NA NA NA 127 468 0 NA NA NA NA 375 3393 773 NA NA NA NA 614 2898 972 NA NA NA
1547334000.0 4008.0 50 0 0 NA NA NA NA 107 0 0 NA NA NA NA 440 284 1127 NA NA NA NA 1387 640 1824 NA NA NA NA
1547334000.0 503.0 38 0 NA NA NA NA NA 89 0 NA NA NA NA NA 225 126 NA NA NA NA NA 363 233 NA NA NA NA NA
1547334000.0 504.0 40 0 NA NA NA NA NA 86 0 NA NA NA NA NA 181 121 NA NA NA NA NA 373 226 NA NA NA NA NA
1547334000.0 505.0 45 0 NA NA NA NA NA 88 0 NA NA NA NA NA 159 114 NA NA NA NA NA 322 228 NA NA NA NA NA
1547334000.0 506.0 46 0 NA NA NA NA NA 88 0 NA NA NA NA NA 177 124 NA NA NA NA NA 309 233 NA NA NA NA NA
1547334000.0 507.0 40 0 NA NA NA NA NA 87 0 NA NA NA NA NA 190 112 NA NA NA NA NA 370 280 NA NA NA NA NA
1547334000.0 508.0 45 0 NA NA NA NA NA 87 0 NA NA NA NA NA 152 126 NA NA NA NA NA 236 275 NA NA NA NA NA
1547334000.0 509.0 46 0 NA NA NA NA NA 85 0 NA NA NA NA NA 150 110 NA NA NA NA NA 324 260 NA NA NA NA NA
1547334000.0 510.0 40 0 NA NA NA NA NA 88 0 NA NA NA NA NA 300 113 NA NA NA NA NA 438 434 NA NA NA NA NA
1547334000.0 511.0 52 0 NA NA NA NA NA 94 0 NA NA NA NA NA 9003 110 NA NA NA NA NA 11348 171 NA NA NA NA NA
1547334000.0 512.0 22 48 0 NA NA NA NA 67 93 0 NA NA NA NA 1741 138 114 NA NA NA NA 19765 396 236 NA NA NA NA
1547334000.0 513.0 20 49 0 NA NA NA NA 62 99 0 NA NA NA NA 557 154 116 NA NA NA NA 1459 318 297 NA NA NA NA
1547334000.0 514.0 21 46 0 NA NA NA NA 66 94 0 NA NA NA NA 348 154 124 NA NA NA NA 511 542 468 NA NA NA NA
