Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547416800.0 101.0 92 NA NA NA NA 161 NA NA NA NA 1336 NA NA NA NA 3193 NA NA NA NA
1547416800.0 102.0 95 NA NA NA NA 161 NA NA NA NA 1128 NA NA NA NA 2078 NA NA NA NA
1547416800.0 1020.0 NA 71 32 0 74 NA 139 71 0 144 NA 292 134 73 323 NA 741 722 159 776
1547416800.0 106.0 47 0 0 NA NA 108 0 0 NA NA 1429 298 1204 NA NA 1512 526 2038 NA NA
1547416800.0 1325.5 NA 188 0 NA NA NA 296 0 NA NA NA 4457 147 NA NA NA 5309 367 NA NA
1547416800.0 135.8 152 NA NA NA NA 274 NA NA NA NA 717 NA NA NA NA 1482 NA NA NA NA
1547416800.0 136.7611 NA 186 0 NA NA NA 304 0 NA NA NA 4913 136 NA NA NA 6254 236 NA NA
1547416800.0 136.7721 NA 184 0 NA NA NA 308 0 NA NA NA 4643 137 NA NA NA 6729 583 NA NA
1547416800.0 136.7801 NA 110 0 NA NA NA 180 0 NA NA NA 696 356 NA NA NA 1900 548 NA NA
1547416800.0 136.7802 NA 77 0 NA NA NA 147 0 NA NA NA 534 216 NA NA NA 1632 386 NA NA
1547416800.0 136.7803 NA 122 0 NA NA NA 194 0 NA NA NA 656 238 NA NA NA 1297 452 NA NA
1547416800.0 2017.8 195 NA NA NA NA 322 NA NA NA NA 861 NA NA NA NA 1608 NA NA NA NA
1547416800.0 505.0 39 0 NA NA NA 88 0 NA NA NA 306 186 NA NA NA 783 368 NA NA NA
1547416800.0 511.0 48 0 NA NA NA 93 0 NA NA NA 15060 208 NA NA NA 18155 496 NA NA NA
1547416800.0 514.0 22 47 0 NA NA 67 93 0 NA NA 387 245 146 NA NA 1191 1021 335 NA NA
1547416800.0 515.0 22 41 0 NA NA 63 93 0 NA NA 1896 156 127 NA NA 9423 264 354 NA NA
1547416800.0 517.0 20 43 0 NA NA 63 93 0 NA NA 919 165 130 NA NA 1500 384 403 NA NA
1547416800.0 519.0 21 39 0 NA NA 62 93 0 NA NA 576 176 134 NA NA 1289 294 597 NA NA
1547416800.0 520.0 20 45 0 NA NA 62 94 0 NA NA 908 168 126 NA NA 1558 292 363 NA NA
1547416800.0 521.0 20 48 0 NA NA 62 93 0 NA NA 698 219 182 NA NA 1904 912 421 NA NA
1547416800.0 522.0 22 41 0 NA NA 63 94 0 NA NA 2680 225 156 NA NA 9632 756 644 NA NA
1547416800.0 524.0 23 48 0 NA NA 62 94 0 NA NA 901 228 161 NA NA 1413 543 593 NA NA
1547416800.0 525.0 20 49 0 NA NA 62 94 0 NA NA 747 205 150 NA NA 2160 397 402 NA NA
1547416800.0 529.0 21 45 0 NA NA 67 92 0 NA NA 1951 162 142 NA NA 8116 446 834 NA NA
1547416800.0 530.0 21 50 0 NA NA 62 94 0 NA NA 901 178 156 NA NA 1136 339 532 NA NA
1547416800.0 551.0 21 45 0 NA NA 67 94 0 NA NA 1074 231 144 NA NA 2064 778 426 NA NA
1547416800.0 554.0 20 46 0 NA NA 63 94 0 NA NA 1562 183 150 NA NA 2167 488 472 NA NA
1547416800.0 555.0 22 46 0 NA NA 66 93 0 NA NA 1240 173 132 NA NA 2978 328 714 NA NA
1547416800.0 556.0 20 48 0 NA NA 66 94 0 NA NA 406 203 145 NA NA 1632 648 396 NA NA
1547416800.0 562.0 20 42 0 NA NA 67 94 0 NA NA 373 181 153 NA NA 1364 431 735 NA NA
