Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1546552800.0 1.0 86 109 190 NA NA NA NA NA NA 195 552 338 NA NA NA NA NA NA 1480 443 980 NA NA NA NA NA NA 1333 379 1190 NA NA NA NA NA NA
1546552800.0 10.0 NA 141 317 0 NA NA NA NA NA NA 569 462 0 NA NA NA NA NA NA 6330 9136 2112 NA NA NA NA NA NA 6503 7093 3231 NA NA NA NA NA
1546552800.0 1000.0 NA 317 189 0 62 NA NA NA NA NA 447 274 0 108 NA NA NA NA NA 8888 4095 2821 926 NA NA NA NA NA 10199 5152 4106 1607 NA NA NA NA
1546552800.0 10001.0 NA 175 369 0 77 NA NA NA NA NA 608 538 0 130 NA NA NA NA NA 574 1672 928 292 NA NA NA NA NA 523 1891 987 632 NA NA NA NA
1546552800.0 10002.0 NA 181 366 0 75 NA NA NA NA NA 610 553 0 126 NA NA NA NA NA 726 1541 959 284 NA NA NA NA NA 1171 1766 1077 449 NA NA NA NA
1546552800.0 10003.0 NA 176 364 0 82 NA NA NA NA NA 611 555 0 133 NA NA NA NA NA 689 1618 1064 254 NA NA NA NA NA 827 1704 1233 392 NA NA NA NA
1546552800.0 10004.0 NA 174 365 0 81 NA NA NA NA NA 610 563 0 133 NA NA NA NA NA 723 1574 992 294 NA NA NA NA NA 665 1674 1124 773 NA NA NA NA
1546552800.0 10005.0 NA 175 367 0 75 NA NA NA NA NA 611 552 0 135 NA NA NA NA NA 636 1639 942 243 NA NA NA NA NA 589 2413 1013 378 NA NA NA NA
1546552800.0 10006.0 NA 173 359 0 76 NA NA NA NA NA 610 545 0 122 NA NA NA NA NA 746 1510 1019 240 NA NA NA NA NA 576 1664 1152 391 NA NA NA NA
1546552800.0 10007.0 NA 175 373 0 76 NA NA NA NA NA 612 588 0 131 NA NA NA NA NA 603 1648 1061 239 NA NA NA NA NA 586 2015 1197 373 NA NA NA NA
1546552800.0 10008.0 NA 187 379 0 87 NA NA NA NA NA 608 587 0 132 NA NA NA NA NA 574 1460 935 354 NA NA NA NA NA 701 1660 1201 363 NA NA NA NA
1546552800.0 10009.0 NA 169 366 0 75 NA NA NA NA NA 574 576 0 134 NA NA NA NA NA 802 1550 900 274 NA NA NA NA NA 829 1664 965 837 NA NA NA NA
1546552800.0 1001.0 NA 269 123 0 0 0 0 0 0 NA 412 180 0 0 0 0 0 0 NA 2391 603 89 83 140 281 109 277 NA 1489 529 136 126 218 340 154 315
1546552800.0 1001.2 NA 364 135 0 NA NA NA NA NA NA 621 208 0 NA NA NA NA NA NA 23000 2356 213 NA NA NA NA NA NA 9880 2181 458 NA NA NA NA NA
1546552800.0 1002.0 NA 318 95 NA NA NA NA NA NA NA 459 133 NA NA NA NA NA NA NA 2486 374 NA NA NA NA NA NA NA 1586 406 NA NA NA NA NA NA
1546552800.0 10023.0 NA 172 358 0 76 NA NA NA NA NA 609 555 0 133 NA NA NA NA NA 731 1587 978 237 NA NA NA NA NA 652 1807 1055 384 NA NA NA NA
1546552800.0 10024.0 NA 187 391 0 78 NA NA NA NA NA 609 552 0 126 NA NA NA NA NA 694 1755 922 272 NA NA NA NA NA 492 1668 982 504 NA NA NA NA
1546552800.0 10024.1 NA 172 197 0 NA NA NA NA NA NA 577 332 0 NA NA NA NA NA NA 943 853 379 NA NA NA NA NA NA 1302 1125 436 NA NA NA NA NA
1546552800.0 10024.2 NA 182 385 0 NA NA NA NA NA NA 609 574 0 NA NA NA NA NA NA 784 1651 965 NA NA NA NA NA NA 589 1557 1176 NA NA NA NA NA
1546552800.0 10024.3 NA 190 177 0 NA NA NA NA NA NA 609 341 0 NA NA NA NA NA NA 920 961 375 NA NA NA NA NA NA 809 1639 571 NA NA NA NA NA
1546552800.0 10024.4 NA 185 384 0 NA NA NA NA NA NA 611 587 0 NA NA NA NA NA NA 736 1606 921 NA NA NA NA NA NA 508 1470 1328 NA NA NA NA NA
1546552800.0 10024.5 NA 175 148 0 NA NA NA NA NA NA 611 230 0 NA NA NA NA NA NA 1176 844 277 NA NA NA NA NA NA 1500 1868 610 NA NA NA NA NA
1546552800.0 10025.0 NA 177 366 0 77 NA NA NA NA NA 571 578 0 135 NA NA NA NA NA 715 1723 991 242 NA NA NA NA NA 903 1866 1049 364 NA NA NA NA
1546552800.0 10026.0 NA 189 397 0 85 NA NA NA NA NA 518 567 0 135 NA NA NA NA NA 891 2239 1087 275 NA NA NA NA NA 859 1852 1193 428 NA NA NA NA
1546552800.0 1003.0 NA 277 0 NA NA NA NA NA NA NA 400 0 NA NA NA NA NA NA NA 3054 629 NA NA NA NA NA NA NA 1677 817 NA NA NA NA NA NA
1546552800.0 1004.0 NA 231 101 0 0 0 0 NA NA NA 354 160 0 0 0 0 NA NA NA 1143 476 77 146 309 329 NA NA NA 1833 2207 157 212 374 401 NA NA
1546552800.0 10042.0 NA 178 362 0 78 NA NA NA NA NA 611 591 0 126 NA NA NA NA NA 742 1605 901 241 NA NA NA NA NA 652 1631 1024 360 NA NA NA NA
1546552800.0 10059.0 NA 188 390 0 89 NA NA NA NA NA 574 575 0 128 NA NA NA NA NA 855 2294 985 350 NA NA NA NA NA 993 1825 1040 345 NA NA NA NA
1546552800.0 10071.0 NA 176 391 0 88 NA NA NA NA NA 610 584 0 134 NA NA NA NA NA 791 1738 1070 266 NA NA NA NA NA 871 1585 1163 470 NA NA NA NA
1546552800.0 101.0 92 NA NA NA NA NA NA NA NA 165 NA NA NA NA NA NA NA NA 1392 NA NA NA NA NA NA NA NA 3295 NA NA NA NA NA NA NA NA
1546552800.0 1010.0 NA 32 49 0 NA NA NA NA NA NA 87 99 0 NA NA NA NA NA NA 172 384 295 NA NA NA NA NA NA 458 869 672 NA NA NA NA NA
1546552800.0 102.0 89 NA NA NA NA NA NA NA NA 165 NA NA NA NA NA NA NA NA 1218 NA NA NA NA NA NA NA NA 1953 NA NA NA NA NA NA NA NA
1546552800.0 1020.0 NA 80 33 0 76 NA NA NA NA NA 145 71 0 150 NA NA NA NA NA 376 154 110 458 NA NA NA NA NA 823 422 264 3211 NA NA NA NA
1546552800.0 10224.0 NA 341 617 0 NA NA NA NA NA NA 626 956 0 NA NA NA NA NA NA 2731 4261 930 NA NA NA NA NA NA 1775 2423 1015 NA NA NA NA NA
1546552800.0 10225.0 NA 339 617 0 NA NA NA NA NA NA 581 818 0 NA NA NA NA NA NA 11663 9628 2296 NA NA NA NA NA NA 9347 8619 3310 NA NA NA NA NA
1546552800.0 103.0 77 106 284 NA NA NA NA NA NA 181 597 449 NA NA NA NA NA NA 1528 553 1537 NA NA NA NA NA NA 1761 1969 1891 NA NA NA NA NA NA
1546552800.0 1030.0 NA 175 54 0 0 NA NA NA NA NA 361 95 0 0 NA NA NA NA NA 31483 1098 479 461 NA NA NA NA NA 27882 2274 1767 1448 NA NA NA NA
1546552800.0 1040.0 NA 347 35 0 NA NA NA NA NA NA 598 75 0 NA NA NA NA NA NA 11478 110 108 NA NA NA NA NA NA 3940 154 145 NA NA NA NA NA
1546552800.0 1040.1 NA 80 36 0 NA NA NA NA NA NA 134 75 0 NA NA NA NA NA NA 596 229 210 NA NA NA NA NA NA 1150 553 761 NA NA NA NA NA
1546552800.0 10424.0 NA 174 387 0 NA NA NA NA NA NA 609 587 0 NA NA NA NA NA NA 742 1722 991 NA NA NA NA NA NA 1427 1799 1073 NA NA NA NA NA
1546552800.0 105.0 81 112 30 NA NA NA NA NA NA 186 552 76 NA NA NA NA NA NA 4086 932 233 NA NA NA NA NA NA 4524 1157 890 NA NA NA NA NA NA
1546552800.0 106.0 50 0 0 NA NA NA NA NA NA 107 0 0 NA NA NA NA NA NA 712 355 1137 NA NA NA NA NA NA 824 342 1758 NA NA NA NA NA NA
1546552800.0 107.0 105 112 286 NA NA NA NA NA NA 212 549 455 NA NA NA NA NA NA 9717 1930 8176 NA NA NA NA NA NA 13028 4425 15381 NA NA NA NA NA NA
1546552800.0 108.0 103 116 295 NA NA NA NA NA NA 216 552 452 NA NA NA NA NA NA 15567 2488 7895 NA NA NA NA NA NA 12959 4074 11192 NA NA NA NA NA NA
1546552800.0 10801.0 NA 282 382 0 97 157 NA NA NA NA 700 610 0 148 233 NA NA NA NA 2005 1888 1840 499 795 NA NA NA NA 4840 2546 2015 530 959 NA NA NA
1546552800.0 10802.0 NA 272 410 0 100 174 NA NA NA NA 698 597 0 144 265 NA NA NA NA 1959 1719 1762 398 898 NA NA NA NA 3099 2003 1988 467 1898 NA NA NA
1546552800.0 10803.0 NA 285 400 0 95 179 NA NA NA NA 721 584 0 150 267 NA NA NA NA 2044 1905 1721 417 664 NA NA NA NA 3059 2079 1896 747 765 NA NA NA
1546552800.0 10804.0 NA 278 397 0 98 173 NA NA NA NA 701 593 0 140 253 NA NA NA NA 1860 1643 1732 603 672 NA NA NA NA 1945 2110 1882 999 811 NA NA NA
1546552800.0 10805.0 NA 303 400 0 97 176 NA NA NA NA 656 603 0 141 265 NA NA NA NA 1975 1858 1756 536 827 NA NA NA NA 2623 2136 1834 1062 1150 NA NA NA
1546552800.0 10806.0 NA 270 390 0 83 134 NA NA NA NA 707 582 0 140 227 NA NA NA NA 1932 1764 1803 538 873 NA NA NA NA 2225 1870 1888 543 1633 NA NA NA
1546552800.0 10807.0 NA 272 402 0 99 163 NA NA NA NA 677 604 0 158 238 NA NA NA NA 1920 1858 1676 461 754 NA NA NA NA 3154 2039 1820 639 1507 NA NA NA
1546552800.0 10808.0 NA 276 401 0 90 167 NA NA NA NA 562 605 0 151 252 NA NA NA NA 2177 2144 2105 553 878 NA NA NA NA 4491 2232 2840 833 1249 NA NA NA
1546552800.0 10809.0 NA 275 396 0 108 166 NA NA NA NA 650 586 0 148 257 NA NA NA NA 1974 2046 1847 479 850 NA NA NA NA 3983 2777 1958 633 1004 NA NA NA
1546552800.0 10823.0 NA 276 389 0 101 134 NA NA NA NA 692 592 0 138 208 NA NA NA NA 1953 1674 1675 546 732 NA NA NA NA 2094 2259 1820 614 1150 NA NA NA
1546552800.0 10824.0 NA 278 401 0 104 182 NA NA NA NA 642 614 0 157 260 NA NA NA NA 1916 1875 1787 419 659 NA NA NA NA 4019 1811 2005 502 896 NA NA NA
1546552800.0 10824.1 NA 285 197 0 NA NA NA NA NA NA 699 367 0 NA NA NA NA NA NA 1949 755 341 NA NA NA NA NA NA 1556 990 491 NA NA NA NA NA
1546552800.0 10824.5 NA 286 177 0 NA NA NA NA NA NA 652 254 0 NA NA NA NA NA NA 2360 717 158 NA NA NA NA NA NA 1943 1501 278 NA NA NA NA NA
1546552800.0 10824.6 NA 284 407 0 102 173 NA NA NA NA 688 602 0 160 265 NA NA NA NA 2140 2017 1846 493 821 NA NA NA NA 2177 1835 2211 660 1029 NA NA NA
1546552800.0 10825.0 NA 275 394 0 97 177 NA NA NA NA 637 582 0 148 255 NA NA NA NA 1754 1743 1796 369 654 NA NA NA NA 2485 1876 2096 515 745 NA NA NA
1546552800.0 10826.0 NA 330 419 0 105 182 NA NA NA NA 695 615 0 161 254 NA NA NA NA 2000 2171 1700 503 796 NA NA NA NA 2405 1975 1776 748 1257 NA NA NA
1546552800.0 10842.0 NA 283 398 0 104 167 NA NA NA NA 685 575 0 152 267 NA NA NA NA 1852 1745 1775 383 729 NA NA NA NA 2001 1764 1941 477 1125 NA NA NA
1546552800.0 10859.0 NA 310 428 0 106 169 NA NA NA NA 688 615 0 160 261 NA NA NA NA 2080 2589 1837 451 951 NA NA NA NA 1690 2122 2404 768 1581 NA NA NA
1546552800.0 10871.0 NA 294 408 0 101 181 NA NA NA NA 649 615 0 156 257 NA NA NA NA 3275 2999 2985 744 1111 NA NA NA NA 3761 2621 3195 1590 1374 NA NA NA
1546552800.0 109.0 92 117 307 NA NA NA NA NA NA 215 551 452 NA NA NA NA NA NA 2756 585 1452 NA NA NA NA NA NA 1904 471 1427 NA NA NA NA NA NA
1546552800.0 11.0 NA 122 292 0 67 NA NA NA NA NA 570 451 0 118 NA NA NA NA NA 6102 4468 1633 944 NA NA NA NA NA 9334 4977 2096 2558 NA NA NA NA
