Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1547334000.0 10024.3 NA 177 175 0 NA NA NA 572 338 0 NA NA NA 830 948 655 NA NA NA 693 1607 797 NA NA
1547334000.0 10024.5 NA 172 141 0 NA NA NA 572 235 0 NA NA NA 898 573 165 NA NA NA 814 1369 455 NA NA
1547334000.0 1003.0 NA 258 0 NA NA NA NA 399 0 NA NA NA NA 3062 748 NA NA NA NA 2159 907 NA NA NA
1547334000.0 101.0 92 NA NA NA NA NA 153 NA NA NA NA NA 891 NA NA NA NA NA 1398 NA NA NA NA NA
1547334000.0 1010.0 NA 28 34 0 NA NA NA 82 96 0 NA NA NA 125 285 212 NA NA NA 322 405 285 NA NA
1547334000.0 102.0 91 NA NA NA NA NA 165 NA NA NA NA NA 791 NA NA NA NA NA 1193 NA NA NA NA NA
1547334000.0 1020.0 NA 61 24 0 72 NA NA 133 67 0 135 NA NA 349 116 81 330 NA NA 767 263 231 487 NA
1547334000.0 103.0 63 102 283 NA NA NA 149 543 449 NA NA NA 1200 473 1677 NA NA NA 1382 539 3686 NA NA NA
1547334000.0 1040.0 NA 333 25 0 NA NA NA 558 70 0 NA NA NA 11134 115 125 NA NA NA 6005 192 552 NA NA
1547334000.0 1040.1 NA 69 27 0 NA NA NA 124 70 0 NA NA NA 428 133 122 NA NA NA 966 461 198 NA NA
1547334000.0 10801.0 NA 265 375 0 85 163 NA 688 584 0 142 253 NA 1754 1850 2264 534 808 NA 2163 3166 2829 1242 1086
1547334000.0 111.0 74 151 276 NA NA NA 179 552 434 NA NA NA 1680 425 1711 NA NA NA 2336 610 1943 NA NA NA
1547334000.0 122.0 42 0 0 NA NA NA 101 0 0 NA NA NA 961 383 1525 NA NA NA 1431 994 2143 NA NA NA
1547334000.0 123.3 233 NA NA NA NA NA 692 NA NA NA NA NA 1219 NA NA NA NA NA 1677 NA NA NA NA NA
1547334000.0 124.1 272 NA NA NA NA NA 692 NA NA NA NA NA 1207 NA NA NA NA NA 1485 NA NA NA NA NA
1547334000.0 1308.0 NA 138 186 47 0 NA NA 563 287 92 0 NA NA 475 712 183 372 NA NA 542 981 363 493 NA
1547334000.0 1325.5 NA 164 0 NA NA NA NA 283 0 NA NA NA NA 5817 197 NA NA NA NA 8552 515 NA NA NA
1547334000.0 1325.51 NA 165 0 NA NA NA NA 271 0 NA NA NA NA 1718 165 NA NA NA NA 2248 621 NA NA NA
1547334000.0 1325.6 NA 189 NA NA NA NA NA 312 NA NA NA NA NA 3746 NA NA NA NA NA 3345 NA NA NA NA
1547334000.0 1325.8 NA 185 0 NA NA NA NA 324 0 NA NA NA NA 4019 148 NA NA NA NA 3265 256 NA NA NA
1547334000.0 1329.1 NA 177 0 NA NA NA NA 311 0 NA NA NA NA 7422 183 NA NA NA NA 9783 336 NA NA NA
1547334000.0 134.813 NA 154 52 0 NA NA NA 283 113 0 NA NA NA 1199 267 419 NA NA NA 1144 540 741 NA NA
1547334000.0 135.2 273 0 122 NA NA NA 695 0 220 NA NA NA 1242 405 687 NA NA NA 1876 877 1425 NA NA NA
1547334000.0 135.8 144 NA NA NA NA NA 270 NA NA NA NA NA 507 NA NA NA NA NA 809 NA NA NA NA NA
1547334000.0 1356.0 81 128 342 0 142 NA 166 594 546 0 234 NA 1873 524 1620 961 581 NA 1345 1055 3430 1292 671 NA
1547334000.0 136.733 NA 171 66 0 NA NA NA 301 122 0 NA NA NA 1203 375 392 NA NA NA 1372 663 739 NA NA
1547334000.0 136.749 NA 92 349 0 NA NA NA 171 558 0 NA NA NA 845 12419 1098 NA NA NA 1153 8095 1851 NA NA
1547334000.0 136.753 NA 90 356 0 NA NA NA 168 543 0 NA NA NA 576 11950 948 NA NA NA 745 6196 1630 NA NA
1547334000.0 136.7611 NA 180 0 NA NA NA NA 305 0 NA NA NA NA 5167 158 NA NA NA NA 6043 631 NA NA NA
1547334000.0 136.7721 NA 178 0 NA NA NA NA 294 0 NA NA NA NA 4831 143 NA NA NA NA 6194 674 NA NA NA
1547334000.0 136.7722 NA 173 0 NA NA NA NA 278 0 NA NA NA NA 5474 140 NA NA NA NA 6982 788 NA NA NA
1547334000.0 136.7801 NA 104 0 NA NA NA NA 176 0 NA NA NA NA 507 321 NA NA NA NA 785 610 NA NA NA
1547334000.0 136.7802 NA 79 0 NA NA NA NA 133 0 NA NA NA NA 363 181 NA NA NA NA 584 426 NA NA NA
1547334000.0 136.7803 NA 110 0 NA NA NA NA 184 0 NA NA NA NA 617 260 NA NA NA NA 1082 647 NA NA NA
1547334000.0 136.8521 NA 181 0 NA NA NA NA 290 0 NA NA NA NA 2457 157 NA NA NA NA 2212 346 NA NA NA
1547334000.0 1362.0 95 136 334 0 NA NA 181 596 480 0 NA NA 5915 680 2011 1075 NA NA 5826 731 2773 1391 NA NA
1547334000.0 2017.8 201 NA NA NA NA NA 319 NA NA NA NA NA 694 NA NA NA NA NA 1097 NA NA NA NA NA
1547334000.0 250199.17 311 NA NA NA NA NA 575 NA NA NA NA NA 4137 NA NA NA NA NA 2026 NA NA NA NA NA
1547334000.0 250407.0 304 0 133 NA NA NA 747 0 229 NA NA NA 1557 386 695 NA NA NA 1904 565 1183 NA NA NA
1547334000.0 4.22 NA 165 66 72 0 NA NA 268 122 135 0 NA NA 981 368 303 295 NA NA 989 620 812 1086 NA
1547334000.0 4.28 NA 71 299 0 NA NA NA 135 450 0 NA NA NA 370 2934 4068 NA NA NA 726 4098 4549 NA NA
1547334000.0 5.2 234 0 NA NA NA NA 692 0 NA NA NA NA 1209 433 NA NA NA NA 1601 1001 NA NA NA NA
1547334000.0 5.7 309 0 NA NA NA NA 695 0 NA NA NA NA 1324 441 NA NA NA NA 2014 741 NA NA NA NA
1547334000.0 503.0 32 0 NA NA NA NA 86 0 NA NA NA NA 217 135 NA NA NA NA 342 243 NA NA NA NA
1547334000.0 504.0 34 0 NA NA NA NA 83 0 NA NA NA NA 205 139 NA NA NA NA 563 416 NA NA NA NA
1547334000.0 505.0 32 0 NA NA NA NA 86 0 NA NA NA NA 185 148 NA NA NA NA 456 327 NA NA NA NA
1547334000.0 506.0 34 0 NA NA NA NA 85 0 NA NA NA NA 183 146 NA NA NA NA 286 606 NA NA NA NA
1547334000.0 507.0 31 0 NA NA NA NA 84 0 NA NA NA NA 231 137 NA NA NA NA 377 293 NA NA NA NA
1547334000.0 508.0 31 0 NA NA NA NA 83 0 NA NA NA NA 191 131 NA NA NA NA 551 209 NA NA NA NA
1547334000.0 509.0 32 0 NA NA NA NA 81 0 NA NA NA NA 181 134 NA NA NA NA 381 368 NA NA NA NA
1547334000.0 510.0 32 0 NA NA NA NA 87 0 NA NA NA NA 260 166 NA NA NA NA 380 736 NA NA NA NA
1547334000.0 511.0 39 0 NA NA NA NA 88 0 NA NA NA NA 11926 126 NA NA NA NA 13932 320 NA NA NA NA
1547334000.0 512.0 14 37 0 NA NA NA 59 91 0 NA NA NA 1986 183 152 NA NA NA 20322 437 511 NA NA NA
1547334000.0 513.0 14 38 0 NA NA NA 59 91 0 NA NA NA 534 149 110 NA NA NA 793 715 170 NA NA NA
1547334000.0 514.0 14 41 0 NA NA NA 59 93 0 NA NA NA 371 185 150 NA NA NA 774 545 374 NA NA NA
1547334000.0 515.0 15 39 0 NA NA NA 59 92 0 NA NA NA 2028 183 130 NA NA NA 18730 506 279 NA NA NA
1547334000.0 516.0 16 40 0 NA NA NA 59 91 0 NA NA NA 511 146 115 NA NA NA 1909 944 418 NA NA NA
1547334000.0 517.0 14 33 0 NA NA NA 59 92 0 NA NA NA 930 202 139 NA NA NA 1910 385 362 NA NA NA
1547334000.0 518.0 14 36 0 NA NA NA 59 92 0 NA NA NA 2043 184 145 NA NA NA 24356 364 377 NA NA NA
1547334000.0 519.0 15 35 0 NA NA NA 59 92 0 NA NA NA 612 179 143 NA NA NA 2703 389 462 NA NA NA
1547334000.0 520.0 13 38 0 NA NA NA 59 92 0 NA NA NA 846 159 113 NA NA NA 1630 654 246 NA NA NA
