Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1547416800.0 10024.3 NA 174 177 0 NA NA NA NA 559 322 0 NA NA NA NA 1466 1479 1183 NA NA NA NA 1408 1888 1594 NA NA NA
1547416800.0 10024.5 NA 173 150 0 NA NA NA NA 570 235 0 NA NA NA NA 1588 875 280 NA NA NA NA 1286 1505 429 NA NA NA
1547416800.0 1003.0 NA 251 0 NA NA NA NA NA 406 0 NA NA NA NA NA 5345 1407 NA NA NA NA NA 5257 2497 NA NA NA NA
1547416800.0 101.0 82 NA NA NA NA NA NA 153 NA NA NA NA NA NA 1450 NA NA NA NA NA NA 2328 NA NA NA NA NA NA
1547416800.0 1010.0 NA 29 32 0 NA NA NA NA 83 96 0 NA NA NA NA 210 511 426 NA NA NA NA 452 842 887 NA NA NA
1547416800.0 102.0 78 NA NA NA NA NA NA 153 NA NA NA NA NA NA 1229 NA NA NA NA NA NA 2484 NA NA NA NA NA NA
1547416800.0 1020.0 NA 68 20 0 63 NA NA NA 142 68 0 136 NA NA NA 610 177 125 670 NA NA NA 971 469 524 1368 NA NA
1547416800.0 1040.1 NA 60 24 0 NA NA NA NA 129 70 0 NA NA NA NA 871 231 193 NA NA NA NA 1535 706 532 NA NA NA
1547416800.0 10824.5 NA 280 160 0 NA NA NA NA 653 243 0 NA NA NA NA 2423 713 194 NA NA NA NA 2422 1137 422 NA NA NA
1547416800.0 10825.0 NA 273 382 0 79 156 NA NA 656 582 0 141 249 NA NA 3528 4077 4633 1051 1548 NA NA 3000 5546 6972 1532 2037 NA
1547416800.0 10871.0 NA 295 397 0 88 171 NA NA 644 584 0 154 263 NA NA 3607 4398 4607 916 1537 NA NA 3232 6648 6796 1310 2160 NA
1547416800.0 112.0 98 105 290 NA NA NA NA 208 589 424 NA NA NA NA 2296 656 1781 NA NA NA NA 2929 616 2122 NA NA NA NA
1547416800.0 123.1 303 NA NA NA NA NA NA 646 NA NA NA NA NA NA 2323 NA NA NA NA NA NA 2305 NA NA NA NA NA NA
1547416800.0 123.2 322 NA NA NA NA NA NA 692 NA NA NA NA NA NA 2181 NA NA NA NA NA NA 2446 NA NA NA NA NA NA
1547416800.0 123.3 236 NA NA NA NA NA NA 647 NA NA NA NA NA NA 1749 NA NA NA NA NA NA 1890 NA NA NA NA NA NA
1547416800.0 124.1 286 NA NA NA NA NA NA 692 NA NA NA NA NA NA 2232 NA NA NA NA NA NA 2521 NA NA NA NA NA NA
1547416800.0 124.2 275 NA NA NA NA NA NA 646 NA NA NA NA NA NA 2209 NA NA NA NA NA NA 2244 NA NA NA NA NA NA
1547416800.0 124.4 287 NA NA NA NA NA NA 692 NA NA NA NA NA NA 2097 NA NA NA NA NA NA 2180 NA NA NA NA NA NA
1547416800.0 124.5 280 NA NA NA NA NA NA 648 NA NA NA NA NA NA 2057 NA NA NA NA NA NA 2175 NA NA NA NA NA NA
1547416800.0 124.6 245 NA NA NA NA NA NA 690 NA NA NA NA NA NA 1868 NA NA NA NA NA NA 2005 NA NA NA NA NA NA
1547416800.0 1307.0 NA 134 182 45 0 NA NA NA 606 295 93 0 NA NA NA 677 874 183 356 NA NA NA 589 898 298 459 NA NA
1547416800.0 1308.0 NA 122 194 43 0 NA NA NA 565 291 93 0 NA NA NA 1033 1019 303 550 NA NA NA 1140 1175 472 816 NA NA
