Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1546639200.0 1.0 88 108 217 NA NA NA NA NA NA 191 589 335 NA NA NA NA NA NA 1709 453 903 NA NA NA NA NA NA 1652 440 1667 NA NA NA NA NA NA
1546639200.0 10.0 NA 146 309 0 NA NA NA NA NA NA 597 457 0 NA NA NA NA NA NA 2345 3646 1037 NA NA NA NA NA NA 1092 2226 1111 NA NA NA NA NA
1546639200.0 1000.0 NA 307 183 0 52 NA NA NA NA NA 454 285 0 103 NA NA NA NA NA 2984 1485 1018 413 NA NA NA NA NA 2903 1488 1445 442 NA NA NA NA
1546639200.0 10001.0 NA 157 340 0 77 NA NA NA NA NA 606 564 0 120 NA NA NA NA NA 711 1619 1240 415 NA NA NA NA NA 770 2784 1526 424 NA NA NA NA
1546639200.0 10002.0 NA 169 352 0 75 NA NA NA NA NA 603 555 0 123 NA NA NA NA NA 612 1645 1231 344 NA NA NA NA NA 883 2122 1946 389 NA NA NA NA
1546639200.0 10003.0 NA 170 353 0 78 NA NA NA NA NA 612 567 0 126 NA NA NA NA NA 615 1634 1216 265 NA NA NA NA NA 536 1845 1324 350 NA NA NA NA
1546639200.0 10004.0 NA 170 366 0 77 NA NA NA NA NA 567 588 0 123 NA NA NA NA NA 705 1893 1401 477 NA NA NA NA NA 553 3098 1624 1317 NA NA NA NA
1546639200.0 10005.0 NA 164 358 0 73 NA NA NA NA NA 606 554 0 121 NA NA NA NA NA 670 1789 1342 328 NA NA NA NA NA 720 2209 1463 801 NA NA NA NA
1546639200.0 10006.0 NA 161 349 0 78 NA NA NA NA NA 567 546 0 127 NA NA NA NA NA 766 1790 1374 291 NA NA NA NA NA 765 2207 2010 441 NA NA NA NA
1546639200.0 10007.0 NA 171 335 0 67 NA NA NA NA NA 612 544 0 128 NA NA NA NA NA 590 1703 1258 265 NA NA NA NA NA 524 3120 1330 400 NA NA NA NA
1546639200.0 10008.0 NA 167 363 0 79 NA NA NA NA NA 567 564 0 127 NA NA NA NA NA 651 1709 1233 330 NA NA NA NA NA 651 2632 1519 364 NA NA NA NA
1546639200.0 10009.0 NA 160 356 0 79 NA NA NA NA NA 606 543 0 131 NA NA NA NA NA 749 1934 1442 316 NA NA NA NA NA 878 4160 1542 470 NA NA NA NA
1546639200.0 1001.0 NA 255 113 0 0 0 0 0 0 NA 409 178 0 0 0 0 0 0 NA 2475 669 102 76 169 675 127 726 NA 2859 663 199 121 368 995 217 865
1546639200.0 1001.2 NA 364 137 0 NA NA NA NA NA NA 615 213 0 NA NA NA NA NA NA 14768 1977 117 NA NA NA NA NA NA 5182 1320 303 NA NA NA NA NA
1546639200.0 1002.0 NA 307 75 NA NA NA NA NA NA NA 446 133 NA NA NA NA NA NA NA 4011 587 NA NA NA NA NA NA NA 2905 444 NA NA NA NA NA NA
